topic_EN,topic_ES,argument_ES,stance_label,stance_conf,stance_num_labelers,stance_con,stance_neutral,stance_pro,quality_score,quality_num_labelers,quality_negative,quality_positive
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El Holocausto es una sanción correspondiente a un grupo de etnia o religíon el cuál debería ser considerado un delito personal,1,0.796366699,10,1,0,9,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El Holocausto fue un acontecimiento muy impactante, donde se aniquiló a una gran cantidad de personas tomando como justificación  sus origenes étnicos y/o religiosos. Fue el mayor genocidio de la historia.",1,1,10,1,0,9,0.688005509,5,1,4
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El Holocausto fue un acto de odio racial que deber ser castigado penalmente.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El Holocausto fue un evento catastrófico en la historia de la humanidad, es algo innegable,  que sea penalizado o no ya depende de las leyes de los países.",0,1,10,3,4,3,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El Holocausto fue un hecho  donde murieron millones de seres humanos, pero las personas deben tener la libertad de hacer su propio juicio y expresarlo como le parezca, libertad de expresión.",-1,1,10,9,0,1,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El Holocausto fue un hecho abonimable en la historia de la humanidad, que mató millones de seres humanos, por lo tanto negar el hecho y ademas usarlo con fines políticos claro que es una ofensa.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El Holocausto fue uno de los horrores mas grandes de la historia de la humanidad, cualquiera que niegue este hecho debe ser catigado con carcel.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El Holocausto puede representar un engaño para intentar ocultar la conspiración judía de la época.,-1,1,10,8,1,1,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El genocidio nunca debe quedar impune y debe condenarse con toda la contundencia de la Ley.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El holocausto cambio el mundo, el exterminio Judio por parte de los nazis debe ser reconocido mundialmente.",1,0.813869125,10,1,1,8,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El holocausto como capitulo de la historia de Alemania, debe ser dado por visto y archivado, no podemos permitir que nuestra sociedad ya superado este mismo, caiga en la ruleta del resentimiento.",-1,1,10,9,0,1,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El holocausto es un hecho que existio y su base quedo grabada en la historia mundial,0,0.524354523,10,0,3,7,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El holocausto es una exageración que fue utilizada como excusa para favorecer a varias naciones .  No existen pruebas fehaciente de dicho acontecimiento.,-1,0.944598883,20,19,1,0,0.332183248,12,8,4
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El holocausto es una invención de los judíos para malponer al pueblo alemán,-1,0.794058741,10,9,0,1,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El holocausto existio y hay pruebas ello tancomo graficas como orales asi quien a estas alturas niegue de sus existencia deberia ser demandado mucho mas sin son politicos o dirigentes.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El holocausto existio y no debe de apoyarse de ninguna manera,-1,0.516125658,10,3,0,7,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El holocausto fue un acto que pasó hace mucho y no debemos vivir en el pasado. Simplemente debemos aprender de ello y no volver a cometer el mismo error, sin la necesidad de tener que hablar de ello.",-1,0.77244115,10,9,1,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El holocausto fue un evento muy traumático para millones de judíos., es por eso que es un delito negar que existió.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El holocausto fue un hecho fidedigno y es insultante sugerir lo contrario frente a pruebas concluyentes.,1,0.641765026,10,1,2,7,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El holocausto fue una de las mejores cosas que han pasado en el mundo, por lo cual no apoyar a este deberia ser un crimen",-1,0.699478998,10,7,1,2,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El holocausto fue uno de los sucesos históricos mas despiadados de la humanidad .,1,0.603513322,10,0,5,5,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El holocausto ha sido unos de los episodios mas oscuros de la humanidad y negarlo representa un acto insensible y racista.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El holocausto no es del todo cierto, y simplemente es una conspiración .",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El holocausto no fue real y no debería ser penado por la ley,-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El holocausto no mató  ni exterminó a los judíos, su propósito era deportarlos, pero todo fue parte de una conspiración.",0,0.60805568,10,7,3,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El holocausto nunca debe ser olvidado y la mejor maneras es aplicando sanciones a quienes traten de negarlo.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El holocausto represento una matanza judía, que discriminaba a este grupo religioso de la población, por lo que no debe olvidarse que de una u otra forma fue un delito.",1,0.93461723,20,0,1,19,0.868975809,10,1,9
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El negar el holocausto es ser insensible e ignorante lo cual debería tener una pena.,1,1,20,0,0,20,0.374206909,11,7,4
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El negar que existió o minimizar el hecho de que el holocausto fue uno de los episodios mas negros de la historia debe penarse pues el hecho de restarle valor nos convierte en una sociedad mas indolente.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El presente trabajo ofrece un análisis jurídico-penal detallado del delito de negación del Holocausto,
conocido también como “La Mentira de Auschwitz” (Auschwitzlüge), desde una perspectiva tanto nacional.",0,0.607087943,10,1,6,3,0.104719331,9,8,1
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El presente trabajo ofrece un análisis jurídico-penal detallado del delito de negación del Holocausto, conocido también como “La Mentira de Auschwitz” (Auschwitzlüge), desde una perspectiva tanto nacional.",0,0.78461736,10,2,6,2,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El principio universal de la humanidad debe ser la libertad de pensamiento, y cuestionar la ocurrencia de un hecho no puede ser un delito.",-1,1,10,8,0,2,0.310577398,5,2,3
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,El recordatorio constante de los hechos puede influir negativamente en la sociedad y propiciar el odio y la desigualdad entre diferentes grupos.,-1,0.597247685,10,4,3,3,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"El sólo entender la clase de sufrimiento que se tuvo, ademas las muertes que hubieron, simplemente por la mente perversa de un solo hombre.",1,0.94927204,20,0,1,19,0.689482033,10,3,7
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,En cierta parte no se estaría de acuerdo porque no todas las personas medimos la gravedad del asunto igual que la otra,-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,En este momento esta en proceso de aceptación,0,0.8196688,20,1,15,4,0,10,10,0
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Es evidente que el holocausto si ocurrió, debido a los diversos testimonios de sobrevivientes. El negar este acto de crueldad y discriminación seria de una u otra forma apoyar lo sucedido.",1,1,10,1,0,9,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Es importante  recordar acontecimientos pasados para evitar en lo posible que se vuelvan a repetir.,1,0.790531061,10,1,2,7,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Es un poco excesivo el castigar la negación del holocausto de esa manera, a pesar de que esta mal no se debe ir a los extremos",-1,1,10,10,0,0,0.341081437,5,3,2
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Esas personas que niegan el Holocausto podrian ser criminales.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Estamos hablando de el mayor genocidio que ha pasado en los ultimos 100 años! Parecia la epoca de la inquisicion!!! Te juzgaban y te asesinaban por ser de diferente Etnia o clase social.,1,0.939313348,20,0,3,17,0.690958473,12,4,8
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Esto fue un hecho que ocurrio hace muchos años y ya deberia dejarse atras,-1,1,10,9,0,1,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Evitar que eliminemos a los causantes de todo mal es una tontería que debe ser penalizada, ya que hay personas que son los que dividen y traen destrucción debemos tener el derecho de eliminarlos.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Existe la libertad de expresión, cada quien tiene derecho a decir lo que quiere y si quiere decir que el holocausto nunca paso puede decirlo libremente.",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Existen algunas incongruencias en los sucesos y las estadísticas por lo cual las personas pueden tener dudas sobre el hecho y no debe ser considerado un crimen.,-1,0.82745012,10,9,1,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Hay suficientes pruebas y testigos que demuestran la veracidad de los hechos,1,0.681923596,10,0,4,6,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Honestamente no creo que haya existido un Holocausto  como lo han contado.,-1,0.791567681,10,9,1,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"La Negación del  Holocausto, no es un delito penal , pero si una falta de consideración con la raza Humana",-1,0.793339383,20,15,1,4,0.610750621,12,5,7
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"La catástofe de la historia judía en cuestión fue llevada a cabo por un dictador autoritario, cuyos motivos para el desastre eran personales, por tanto es mejor no enfocarse en ese estigma.",0,0.462771395,10,5,3,2,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"La legalización y su uso con fines no medicinales sino recreativos, lleva consecuencias a la sociedad que experimenta temor al ser victima de robo por dichos individuos que buscan de satisfacer su deseo",0,1,10,1,9,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"La libertad de expresión es un derecho fundamental en los seres humanos, es una pena que se pretenda suprimir a los que piensan diferente en cuanto al holocausto",-1,1,10,9,0,1,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,La libertad de expresión y pensamiento es un derecho inalienable.,-1,0.905307629,10,9,1,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,La negacion a creer que el Holocausto fue real deberia de ser penado de alguna forma ya que tal negacion representaria una ofensa moral y una burla publica para aquellos que la sufrieron.,1,1,20,0,0,20,0.901647625,10,1,9
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,La negacion del Holocausto como tal no es mas que una simple posicion personal de aquellos que gozaron de tranquilidad durante la guerra y seria un exabrupto penarlo.,-1,1,10,9,0,1,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,La negacion del Holocausto deberia ser un delito penal pues es un hecho comprobable y que cambio la humanidad.,1,1,20,0,0,20,0.779590432,11,3,8
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"La negacion del Holocausto no deberia ser un crimen, porque cada persona deberia poder expresar su opinion sobre este suceso libremente",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,La negacion del holocausto es una violación a la libertad de los derechos civiles de las personas,1,1,10,1,0,9,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"La negación deberia ser un delito puesto que este hecho ha teñido de sangre la historia de la humanidad, ningun gobierno debe permitir que apoyen o hablen en favor del holocausto.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"La negación del Holocausto, y así de todos los eventos donde se violen  los derechos humanos en tiempos de guerra, deben ser considerados delitos, porque desconocen de manera contundente los hechos historicos",1,1,10,1,0,9,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,La negación del asesinato genocida de millones de judíos por parte de los nazis es complicidad a uno de los acontecimientos más detestables en la historia de la humanidad y debe ser penado en todo el mundo.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,La negación del holocausto es un delito de odio y atenta contra los derechos humanos.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,La opinion de todos es importante y el criminalizar la opinion de alguien acerca del holocausto asi como de otros topicos es una violacion de las libertados individuales,-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,La prohibion es necesaria ya que impide los discursos de odio que se puedan llegar generar,1,0.872401066,10,0,1,9,0.006422791,5,4,1
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Las muertes de millones de judíos se debió a las consecuencias de la guerra, los campos de concentración eran lugares que se utilizaron para dar refugio a los judíos por lo que no puede ser un delito.",-1,0.778314913,10,7,0,3,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Las personas pueden decidir o no, que el Holocausto sucedió,  cada persona tiene derecho a formarse una opinión propia sin que intervenga el Estado.",-1,1,20,20,0,0,0.907569984,10,1,9
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Las personas tienen derecho a olvidar episodios trumaticos y redemir sus actos,-1,0.809133575,20,16,4,0,0.376957821,11,6,5
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Los errores cometidos en el pasado no deben ser perseguidos incansablemente toda la vida, pues necesitamos avanzar y perdonar para ser una sociedad mas humana",-1,0.812679163,20,16,2,2,0.665589421,10,3,7
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Los eventos históricos del holocausto jamás deberían olvidarse y tratar de ocultarlos debería ser penado por la ley.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Los que niegan el Holocausto afirman que los nazis solo querían deportar a los judíos, no asesinarlos. Y alegan que el número real de judíos asesinados fue significativamente menor a la que se dice",0,0.711102186,10,2,5,3,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Muchas personas murieron en el Holocausto. Es una ofensa que alguien diga que nunca paso o que es un invento por eso deberían haber leyes que castiguen a a todos aquellos que niegan este hecho.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Muchas personas sufrieron y fueron torturadas de la manera mas cruel durante el holocausto y se llego a cometer un genocidio donde muchos inocentes perdieron la vida,0,0.55883474,10,2,3,5,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Negar algo que atormento a millones de personas es tan malo como aquellos que estuvieron detras del holocausto.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Negar el Holocausto insentiva la perpetracion de delitos atroces a los derechos humanos y estimula la discriminacion racial por lo cual deberia ser penado por la ley,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar el Holocausto no debe ser un delito, a pesar de ser un evento espantoso en la historia, el solo hecho de negar su existencia no debe acarrear un delito penal.",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar el Holocausto si debe ser un delito penal, miles de personas fueron asesinadas durante este evento y el mundo debe saber y recordarlo para que no se repita.",1,1,10,1,0,9,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar el holocausto ayuda a que las heridas pasadas no se abran más, fue un evento realmente doloroso",-1,0.606294117,20,13,0,7,0.36686055,12,7,5
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Negar el holocausto deberia ser un delito penal ya que seria apoyar el homicidio de tantas personas que perecieron por sus creencias religiosas,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar el holocausto debería ser inaceptable y penalizado actualmente en nuestra sociedad, fueron miles de personas quienes perdieron la vida a manos de la Alemania nazi.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar el holocausto debería ser ofensa criminal porque fue un evento donde murieron millones de personas y hay literatura, testimonios y pruebas físicas fehacientes de que eso ocurrió.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Negar el holocausto debería ser una ofensa criminal porque fue algo horrible que sucedió y que nos afecta a todos.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar el holocausto es ofensivo no sólo para los familiares de las victimas de los supervivientes, sino también para pueblos enteros que aún sufren las secuelas de esa catastrofe.",1,1,20,0,0,20,1,13,0,13
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Negar el holocausto es ser cómplices de unos dementes que se auto nombraron raza superior y que por odio fueron capaces de exterminar a millones de personas.,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar el holocausto es una actitud ofensiva con los judíos que fueron torturados y asesinados en los campos de concentración, y si esas afirmaciones son públicas se debe considerar un delito y penado por la ley",1,1,20,0,0,20,1,11,1,10
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Negar el holocausto es una forma de suprimir la información de las atrocidades ocurridas en esos eventos,1,0.836435594,10,1,0,9,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Negar el holocausto no es lo mismo que apoyarlo simplemente es no creer que existió,-1,0.827953028,10,6,0,4,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar el holocausto puede ser una actividad peligrosa, tanto socialmente como políticamente. Negar que paso, seria un insulto a todas las personas, familias de personas que murieron asesinadas.",1,0.850194721,10,0,1,9,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Negar el holocausto sería encubrir la masacre de miles de personas inocentes,1,1,10,1,0,9,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar el holocausto, es negar a la historia, es un hecho repulsivo que debería ser condenado, y que sirva como lección para las futuras generaciones.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar la muerte y el crimen durante el Holocausto es desconocer el sufrimiento de millones de Judíos, y podría tener sus base en ideologías Neonazis, por ende debería ser un delito penado.",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar los hechos del holocausto supone una ofensa para las victimas, sus familiares y los sobrevivientes a este periodo de la historia de la humanidad.",1,0.827922234,10,0,1,9,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar que el holocausto no fue real debería de ser penado ya que, a pesar de ser algo que pasó hace tiempo, supuso la aniquilación de mucha gente cuyo pueblo a tenido que vivir con ello.",1,0.859250237,10,1,0,9,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Negar que el horror del holocausto haya ocurrido implica que en otro momento de la historia pudiese ocurrir una situación similar.,1,1,20,1,1,18,0.901232559,11,1,10
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"Negar que hubo un holocausto no debe ser penalizado, aunque es una parte horrible de la humanidad y que no debe de repetirse no hay ningún delito en negar sucedió ese evento.",-1,0.882868788,10,8,0,2,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,Negar tan terrible crimen contra la humanidad son totalmente racistas.,1,0.842277443,10,0,1,9,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,No debe ser penalizado ya que existe libertad de expresion y libre albedrio la persona tiene el derecho a creer lo que considere justo para sus creencias.,-1,0.935898021,20,19,0,1,0.821946291,10,2,8
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,No deberia ser un delito penal como talpero si sansionable,-1,1,10,8,1,1,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,No debería considerarse como crimen el negar el holocausto porque cada quien es libre de decidir lo que quiere creer.,-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"No debería considerarse delito penal, ya que no existe suficiente pruebas que así lo determinen, una de ellas es que muchos judíos sobrevivieron a la guerra, no murieron se fueron.",-1,1,20,20,0,0,0.754683756,13,4,9
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,No debería de ser un delito apoyar el holocausto ya que todos tenemos distintas maneras de pensar y debemos respetar las opiniones de nuestros semejantes,-1,0.829807947,10,9,0,1,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,No debería ser penado ya que pueden existir personas con condiciones mentales o que simplemente lo hacen por llamar la atención.,-1,1,20,19,0,1,0.462675952,10,6,4
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,No debería ser un delito penal porque  cada quien es libre de opinar y creer,-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"No debería ser un delito penal, eso seria coerción y violaría la libertad de pensamiento y expresión.",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,No debería ser una defensa criminal pensar de manera distinta sobre un acontecimiento historico como el holocausto.,-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,La negación del Holocausto debe ser un delito penal,"No debería ser una ofensa criminal porque muchas personas en masa han muerto en el mundo y no se le da la importancia como al holocausto. Son hechos ocurridos en ciertas regiones o países, no en todo el mundo.",-1,1,10,10,0,0,,,,
