topic_EN,topic_DE,argument_DE,stance_label,stance_conf,stance_num_labelers,stance_con,stance_neutral,stance_pro,quality_score,quality_num_labelers,quality_negative,quality_positive
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Die Leugnung des Holocaust sollte eine Straftat sein um die Angelegenheit schon bei der Wurzel den Strafgerichten zu zuführen.,1,1,8,0,0,8,0.636538847,8,3,5
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Die Leugnung des Holocaust sollte mit Gefängnis bestraft werden, da dies den Tod vieler Unschuldiger mit sich bringen würde",1,1,10,0,0,10,0.336289326,9,6,3
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Die Leugnung des Holocausts ist eine Beleidigung für alle Opfer dieser dunklen Zeit und darf keinesfalls geduldet werden.,1,1,10,0,0,10,0.324724316,9,6,3
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Dies sollte mit Gefängnis bestraft werden, da dies den Rest der Welt gefährden kann",1,1,10,0,0,10,0.378395714,8,5,3
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Eine demokratische Gesellschaft sollte Meinungsfreiheit garantieren.,-1,1,10,10,0,0,1,8,0,8
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Es gibt eine Meinungsfreiheit und die deckt ggf. auch die Leugnung.,-1,1,10,10,0,0,0.880596111,8,1,7
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Es ist ein Verbrechen, etwas zu leugnen, das wir vor Augen haben, umso mehr, als wir in den letzten Jahren so viele Tests mit Atomwaffen gesehen haben.",1,0.897482556,10,0,1,9,0.284187779,7,5,2
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Es ist eine Straftat den Holocaust zu leugnen, da dadurch den Opfern jegliche Würde genommen wird.",1,1,10,0,0,10,0.288980436,9,6,3
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Es ist nicht Aufgabe der Legislative, die Wahrheit festzulegen.",-1,0.870204704,7,6,1,0,0.705776692,7,2,5
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Es scheint mir gut zu sein, da dies bei den Menschen Bewusstsein schafft",1,1,5,0,0,5,0.185059138,5,4,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Es sollte ein Verbrechen sein, damit diese Anzeigen und Reden so klar wie möglich sind und diejenigen, die sich nicht daran halten, ins Gefängnis gebracht werden",1,0.89944948,10,1,0,9,0.50954713,9,4,5
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Es sollte nicht als Straftat anerkannt werden, da man selbst kein Verbrechen begangen hat, sondern nur seine Meinung vertritt-",-1,1,7,7,0,0,0.831974873,7,1,6
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Es wird das Signal gesetzt, dass man sich der Schuld und Verantwortung bezüglich der Geschichte bewusst ist und eine Leugnung dessen würde zurecht bestraft werden.",1,1,7,0,0,7,1,7,0,7
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Gäbe den proffesionell Empörten eine weiter Möglichkeit,0,0.585824173,7,3,4,0,0,7,7,0
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Jeder kann sich frei äußern, solange er dies nicht tut, um die Gruppen zu provozieren",-1,1,8,8,0,0,0.628494872,8,3,5
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Jeder weiß, wie schrecklich die Taten des Holocaust waren. Diesen zu leugnen, ist eine Schande und verunglimpft die grausamen Taten.",1,0.900183418,10,1,0,9,0.487348184,9,5,4
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Man darf den Faschismus nicht verleugnen,1,0.910698878,10,1,0,9,0.082614044,9,8,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Ontkenning van de holocaust zou een strafbaar feit moeten zijn, als ik bedenk dat dit me pijn doet",1,0.910380331,10,1,0,9,0.205449246,9,7,2
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Solche barbarischen Taten einfach zu verleugnen, ist unmenschlich und verletzt die Gefühle der Hinterbliebenen.",1,0.921959539,10,1,0,9,0.888359952,8,1,7
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Wenn ich an etwas denke, das mich erschreckt, kommt mir der Holocaust in den Sinn",1,0.680427764,10,0,3,7,0.072156798,9,8,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Wer den Holocaust leugnet zeigt sein wahres Gesicht.,1,0.677878442,10,0,3,7,0.082614044,9,8,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,Wer den holocaust leugnet ist ein verfickter Nazi und kann gar nicht hart genug bestraft werden.,1,1,10,0,0,10,0.192081443,9,7,2
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"Wer diese Verbrechen leugnet, sollte bestraft werden, da dieses Gedankengut sonst wieder als Meinung gelten darf.",1,0.939934758,10,1,0,9,0.873575165,9,1,8
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,es sollte auf Fakten beruhen und man darf nicht Fakten leugnen,-1,0.61302637,10,6,0,4,0.067051292,9,8,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"geen ontkenning van de holocaust mag een strafbaar feit zijn, we willen de geschiedenis niet vergeten",1,0.410025926,10,3,3,4,0.11884731,8,7,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"im Vergleich dazu aus nationaler Sicht auch als ""Auschwitz-Lüge"" bekannt",0,0.71656443,20,2,14,4,0,15,15,0
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"sollte bestraft werden, aber wenn diese Straftaten von Persönlichkeiten des öffentlichen Lebens gesagt werden, die eine große Anzahl von Menschen bewegen",1,0.806596145,5,0,1,4,0.158622626,5,4,1
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"wenn ich damit einverstanden bin, dass ein solches Ereignis nicht vergisst",0,0.646603747,8,1,5,2,0,8,8,0
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,wir haben Meinungsfreiheit in unserem Land,-1,1,10,10,0,0,0.879804992,8,1,7
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,Bei verantwortungsbewußtem Umgang in sozialen Netzwerken können diese sehr nützlich sein.,-1,0.913984021,10,9,0,1,0.745732313,8,2,6
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,Dank ihnen gibt es eine bessere Kommunikation zwischen den Menschen,-1,0.839345685,10,8,0,2,0.458335551,9,4,5
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Das Medium wird dazu verwendet, bestimmte Personen zu beleidigen und zu diskriminieren. Die vielen unsachlichen und negativen Kommentare lassen sich nur schlecht herausfiltern bzw. beseitigen.",1,0.895712022,10,1,0,9,1,9,0,9
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Das ist richtig, da die Menschen eine Reizüberflutung erfahren. Jede Person kann zu jedem Thema ihre unqualifizierte Meinung äußern.",1,1,8,0,0,8,0.865907464,8,1,7
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Der Fehler liegt nicht nur in den sozialen Netzwerken, es gibt viele Verantwortliche, sondern auch in den großen Unannehmlichkeiten von Facebook & Cía",1,0.693093879,7,1,1,5,0.134763163,7,6,1
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,Die Nutzung sozialer Netzwerke ist schädlich,1,1,10,0,0,10,0,8,8,0
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Die Sozialen Medien bringen mehr Schaden als Nutzen, wenn man bedenkt wie viel Zeit Kinder und Jugendliche auf den diversen Plattformen verbringen und keinen pädagogisch wertvollen Inhalt vorfinden.",1,1,7,0,0,7,0.870005193,7,1,6
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,Die negativen Auswüchse durch vermeintliche Anonymität werden immer größer und mehr.,1,0.90821618,10,1,0,9,0.753899016,9,2,7
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Die sozialen Medien sind der Ort im Internet, der die schlechtesten Eigenschaften der Menschen an die Oberfläche bringt.",1,1,6,0,0,6,1,6,0,6
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Durch Social Media werden Nachrichten verbreitet, die nicht stimmen. Menschen werden dadurch falsch beeinflusst.",1,1,5,0,0,5,0.830353033,5,1,4
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,Durch soziale Medien sind Kommunikationen auch in Krisenzeiten wie aktuell möglich (Corona),-1,0.941536728,10,9,0,1,1,9,0,9
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Durch soziale Medien werden Fake News und gefährliche Verschwörungstheorien verbreitet und sie rauben den Menschen viel Zeit, die sie für richtige Interaktionen mit anderen verwenden könnten.",1,1,10,0,0,10,1,9,0,9
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Ein moderater Konsum von Facebook und Co hilft besonders in schweren Zeiten sich mit anderen Betroffenen auszutauschen, was sich positiv auf die Psyche auswirkt.",-1,1,10,10,0,0,1,9,0,9
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Es ist eine Möglichkeit, mit Menschen auf der ganzen Welt in Kontakt zu treten, sei es aus persönlichen oder geschäftlichen Gründen.",-1,0.923860553,10,9,0,1,1,8,0,8
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Es ist schwer so eine Aussage pauschal zu treffen, was genau bedeutet Gefahr? Das sollte erstmal genau definiert werden",0,1,6,0,6,0,0,6,6,0
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Guten Tag Herr / Frau Vorsitzender, meine Damen und Herren. Das Thema unserer Debatte ist, dass Social-Networking-Sites mehr Schaden anrichten als",0,0.607351584,10,0,6,4,0,8,8,0
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Ich bin damit nicht einverstanden, da sie viele Vorteile bieten",-1,1,8,8,0,0,0.335318014,8,5,3
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,In der Tat haben soziale Netzwerke nur den Geist unserer jungen Menschen verdreht und sie zu Pornografie und Ehebruch veranlasst.,1,1,10,0,0,10,0.475197588,8,4,4
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"In sozialen Medien verbreitet sich Hass und verbale Gewalt so rasant, dass es massive Einschränkungen, bis hin zum Verbot geben sollte.",1,1,8,0,0,8,1,8,0,8
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"In sozialen Netzwerken können Sie viele nützliche Informationen abrufen, die Sie im Leben verwenden können",-1,1,5,5,0,0,0.461046392,5,3,2
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Insbesondere helfen sie uns, mit mehr Menschen in Kontakt zu bleiben und besser über das Geschehen auf der Welt informiert zu sein",-1,1,10,10,0,0,1,9,0,9
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Insbesondere helfen sie uns, mit mehr Menschen in Kontakt zu bleiben und besser über die Entwicklungen in der Welt informiert zu sein",-1,1,40,40,0,0,1,34,0,34
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,Kein Social Media bringt mehr Schaden als Nutzen,-1,0.886982594,8,7,0,1,0,8,8,0
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,Mit sozialen Netzwerken können wir mit Menschen aus anderen Ländern interagieren,-1,1,6,6,0,0,1,6,0,6
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,Sie helfen bei der Kommunikation mit weit entfernten Menschen und ermöglichen eine flüssigere Kommunikation,-1,1,10,10,0,0,1,9,0,9
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Sie sind sich definitiv einig, dass sie soziale Netzwerke nutzen, um Hass zu kultivieren und häufig geschlechtsspezifische Gewalt zu fördern",1,0.896290284,10,1,0,9,1,9,0,9
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,Social Media schadet mehr als nützt,1,1,20,0,0,20,0.056122796,15,13,2
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,Social Media sollte blockiert werden,1,1,10,0,0,10,0.083883152,9,8,1
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,Sociale media brengen meer kwaad dan goed omdat de echte band voorbij is,1,0.715619469,7,0,2,5,0.111952152,7,6,1
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,Sociale media brengen meer kwaad dan goed omdat het de familie breekt,1,0.752379703,8,0,2,6,0.113324456,8,7,1
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Soziale Medien erleichtern den politischen Wandel, Menschen können schnell und kostenlos informiert und mobilisiert werden.",-1,1,9,9,0,0,1,9,0,9
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Soziale Medien führen zu einem verminderten Selbstwertgefühl und einem negativen Körperbild, indem wir uns mit geschönten Realitäten und Bildern vergleichen.",1,1,9,0,0,9,1,9,0,9
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Soziale Medien könnten süchtig machen, Menschen faul und weniger sozial machen, Gerüchte und Spaltungen zwischen Menschen verbreiten",1,1,8,0,0,8,0.738056226,8,2,6
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Soziale Medien sind ein Sammelplatz für Hass und Gewalt, weil für viele Menschen die Hemmschwelle im Internet deutlich niedriger ist.",1,1,10,0,0,10,1,7,0,7
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Soziale Netzwerke haben viele Verwendungszwecke. Sie müssen nur wissen, wie man sie verwendet",-1,1,6,6,0,0,0.825872087,6,1,5
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Soziale Netzwerke sind das beste Mittel für eine effektive und sofortige Kommunikation, die nicht so viel Schaden anrichtet, wie die Gende sagt",-1,1,9,9,0,0,0.526822043,9,4,5
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Soziale Netzwerke sind von großer Bedeutung für die Kommunikation zwischen weit entfernten Familienmitgliedern oder Freunden, die uns über die weltweiten Ereignisse informieren.",-1,1,8,8,0,0,1,8,0,8
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Soziale Netzwerke sind zu 50% böse und zu 50% profitabel, da sie aus dem Nichts eine Berühmtheit schaffen und auf die gleiche Weise verschwinden können",0,0.386633947,10,3,4,3,0.464270805,9,5,4
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Soziale Netzwerke zerstören die Intelligenz unserer jungen Menschen, die wir in einer Welt fortschrittlicher Technologie leben, aber kalte Menschen, die an das Netzwerk gebunden sind",1,1,8,0,0,8,0.657430191,8,3,5
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Vor allem in Zeiten von Corona sind Social Media ein wichtiges Instrument, um in Kontakt zu bleiben.",-1,1,10,10,0,0,0.876491647,9,1,8
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"Wir stimmen dem zu, weil Netzwerke oft genutzt wurden, um Verbrechen zu begehen und Hassbotschaften zu senden",1,1,10,0,0,10,1,9,0,9
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,mobbing hat in den sozialen Medien durch die Anonymität im Netz extrem zugenommen- speziell die letzten Jahre,1,1,10,0,0,10,1,8,0,8
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,sind total schädlich für die Gesellschaft,1,1,10,0,0,10,0.23264202,8,6,2
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,soziale Netzwerke beendeten die wahre Liebe,1,1,10,0,0,10,0.086062405,9,8,1
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,soziale Netzwerke wurden zu unserem Alltag,0,0.612714754,5,2,3,0,0.228973064,5,4,1
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,wenn Social Media mehr Schaden als Nutzen anzieht,1,0.647702253,10,0,3,7,0,7,6,1
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Angeklagten muss die Möglichkeit gegeben werden, einen privaten, selbst gewählten Anwalt als Verteidigung bei Gericht, engagieren zu können.",-1,0.598226011,10,6,0,4,0.858287682,7,1,6
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Arme Menschen sind auf öffentliche Verteidiger angewiesen, die zu überarbeitet sind, um ... verfassungsrechtlich verpflichtet zu sein, Angeklagten, die es sich nicht leisten können, Ratschläge zu erteilen",1,0.810117741,10,1,1,8,0.389608068,8,5,3
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Armut, schlechtes Bildungsniveau und Sprachverständnis darf nicht über das Recht bei Gericht entscheiden.",-1,0.625898946,10,6,0,4,0.87449979,9,1,8
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,Auch arme Menschen haben ein Recht auf eine angemessene Verteidigung.,1,1,5,0,0,5,1,5,0,5
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Das ist eine Maßnahme, die jedem die Möglichkeit gibt, sich zu  verteidigen unabhängig von vorhandenen Geldmitteln.",1,1,8,0,0,8,0.865907464,8,1,7
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,Den ärmeren Menschen wird so geholfen.,1,0.566788197,10,4,0,6,0.61168197,9,3,6
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,Der Einsatz eines Pflichtverteidigers sollte verpflichtend sein damit jeder Mensch einen Basis Rechtsschutz in der Gesellschaft bekommt unabhängig von seiner Bildung und seinen finanziellen Möglichkeiten.,1,1,10,0,0,10,1,9,0,9
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,Der Einsatz von öffentlichen Verteidigern sollte nicht obligatorisch sein,-1,1,8,8,0,0,0.09414232,8,7,1
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,Der Einsatz von öffentlichen Verteidigern sollte nicht obligatorisch sein.,-1,1,10,10,0,0,0.09452935,8,7,1
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Der Einsatz von öffentlichen Verteidigern sollte obligatorisch sein, da sie dazu beitragen, die Angelegenheit richtig zu verstehen, und sogar Menschen helfen",1,1,10,0,0,10,0.843529451,7,1,6
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Der Vorteil liegt darin, dass der Beschuldigte erst einmal nicht selbst für seine Verteidigung aufkommen muss.",1,0.741132222,10,2,1,7,0.331815019,9,6,3
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Dies würde Gleichheit und wahre Gerechtigkeit schaffen. Wenn jeder einen öffentlichen Verteidiger hatte, wäre die Gerechtigkeit gerechter statt der eher abgeknallten Justiz, weil sie teurer Anwälte mehr Geld zahlen können.",1,1,8,0,0,8,1,7,0,7
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Ein fairer Prozess  gehört zu den grundlegenden Idealen  unseres Landes, dazu bedarf es keines öffentlichen Verteidigers.",-1,1,7,7,0,0,0.592622877,7,3,4
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Es gibt keinen Grund öffentliche Verteidiger zu nutzen, da jeder das Recht besitzt, sich einen im Falle einer Anklage, einen Verteidiger zu nutzen",-1,1,10,10,0,0,1,9,0,9
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Es handelt sich um einen öffentlichen Dienst, dessen Zweck darin besteht, diejenigen zu verteidigen, die eines Verbrechens, einfachen Verbrechens oder Vergehens beschuldigt oder beschuldigt werden",1,0.717983518,7,0,2,5,0.85363855,7,1,6
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Es ist ein Gebot der Fairness, dass jederAngeklagte von kompetenten  Anwälten verteidigt wird, unabhänig von seinem Einkommen.",1,0.902966806,10,1,0,9,0.873702807,9,1,8
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Es ist ein öffentlicher Dienst, dessen Zweck es ist, diejenigen zu verteidigen, die eines Verbrechens, einfachen Verbrechens oder Vergehens beschuldigt oder beschuldigt werden",1,0.70916516,10,1,2,7,0.581508686,7,3,4
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Es ist ein öffentlicher Dienst, dessen Zweck es ist, diejenigen zu verteidigen, die eines Verbrechens, einfachen Verbrechens oder Vergehens beschuldigt oder beschuldigt werden",1,0.70916516,10,1,2,7,0.169646967,5,4,1
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Es ist tödlich, wenn Sie keinen Anwalt bezahlen müssen",-1,0.632350308,10,6,2,2,0.111640048,8,7,1
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Es sollte nicht obligatorisch sein, denn wenn Sie in der Lage sind, eine Straftat zu begehen, sollten Sie in der Lage sein, einen Anwalt zu bezahlen",-1,1,10,10,0,0,0.515558977,8,4,4
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Es wäre nur dem Glück geschuldet, ob man einen guten oder schlechten Anwalt erhält. Der Anwalt sollte auch frei wählbar sein, Stichwort Vertrauen.",-1,0.813993272,10,8,0,2,0.588141377,9,4,5
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Hat ein Angeklagter einen privaten Anwalt oder verteidigt er sich selber, ist kein Pflichtverteidiger vonnöten. Trotzdem muss gelten: Im Bedarfsfall muss ein Pflichtverteidiger herangezogen werden können.",1,0.897523538,10,1,0,9,0.537186445,9,4,5
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"He has avoided engaging his troops in combat missions, but soldiers from companies like DynCorp have long played this role.",0,0.904404869,10,1,9,0,0,8,8,0
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Het gebruik van openbare verdedigers moet verplicht zijn, daar profiteren we allemaal van",1,0.90821618,10,1,0,9,0.163748507,9,7,2
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,Het gebruik van openbare verdedigers zou verplicht moeten zijn omdat niet iedereen toegang heeft tot dit voordeel,1,0.902627857,10,1,0,9,0.36304071,9,5,4
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Ich bin damit einverstanden, dass es oft obligatorisch ist, dass die Angeklagten keine privaten Anwälte haben oder diese nicht haben",1,0.594094061,10,0,4,6,0.268359806,8,6,2
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Ich stimme zu, weil jeder das Recht auf einen Anwalt haben sollte, sei es öffentlich oder privat",1,0.80122677,10,2,0,8,0.634016773,8,3,5
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,Ja Der Einsatz von öffentlichen Verteidigern sollte obligatorisch sein.,1,1,10,0,0,10,0,9,9,0
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,Jede Person kann um private oder öffentliche Verteidigung bitten,1,0.518960424,6,1,2,3,0.133190772,6,5,1
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,Jedem Angeklagen gebührt vor Gericht die gleiche Chance und deshalb sollte auch jeder einen Pflichtverteidiger haben.,1,1,9,0,0,9,0.885594826,9,1,8
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,Jeder muss das Recht auf einen öffentlichen oder privaten Verteidiger haben,1,0.905309629,10,1,0,9,0.748039526,8,2,6
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,Jeder sollte das Recht auf einen öffentlichen Verteidiger haben,1,1,6,0,0,6,0.485782042,6,3,3
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Jemand der an einen Menschen getötet hat, sollte nicht das Recht auf einen Verteidiger haben, denn dadurch wird versucht, für den Angeklagten das Beste aus einem Urteil zu holen, was er nicht verdient hat",-1,1,8,8,0,0,0.529578953,8,4,4
