topic_EN,topic_NL,argument_NL,stance_label,stance_conf,stance_num_labelers,stance_con,stance_neutral,stance_pro,quality_score,quality_num_labelers,quality_negative,quality_positive
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,Het is geen misdaad om een nucleaire holocaust te ontkennen. De regering was verantwoordelijk voor het verstrekken van de informatie die nodig was om kalm te blijven.,-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,Het is heel goed omdat we ervoor zorgen dat het nooit meer gebeurt,1,1,10,0,0,10,0,9,9,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,Het lijkt me erg goed omdat het wordt onthuld en om te zeggen of het waar is,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Het lijkt mij juist, aangezien dat feit niet wordt vergeten en helpt om bewustzijn te creëren",1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Het was een vreselijke daad waar ik het mee eens ben, zodat het nooit wordt herhaald",1,1,10,0,0,10,0.31245378,10,7,3
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Holocaust, we hoeven dit feit niet te rechtvaardigen door misdaad, dus het verdient geen vergelding",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Holocaust, we hoeven dit feit niet te rechtvaardigen door misdaad, dus het verdient geen vergelding.",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,Iedereen is wel vrij om zelf te bepalen wat ze er van vinden.,-1,1,10,10,0,0,0,8,8,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Ik ben het ermee eens om publieke figuren die de zaak belachelijk maken, te straffen",1,0.832659891,10,1,1,8,0.294102117,9,6,3
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"Keine Leugnung des Holocaust sollte eine Straftat sein, da nicht jeder diesen Moment leben möchte",1,0.797878266,10,2,0,8,0.821402139,10,2,8
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,asdsaasf asd sasadddddddddddddddddddddddddddddddddddddddddddddd,0,1,10,0,10,0,0,9,9,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,dat is prima voor mij aangezien zoveel mensen stierven door die gebeurtenis,1,1,10,0,0,10,0.31245378,10,7,3
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,de holocaust heeft zoveel schade aangericht dat het onomkeerbaar is om aan de,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,dit feit was vreselijk en doodde duizenden Joden in Europa,1,1,10,0,0,10,0.403960067,10,6,4
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,dit feit was vreselijk en veroorzaakte veel doden,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,dit was een vreselijke en catastrofale gebeurtenis,1,0.680773064,10,0,3,7,0.403960067,10,6,4
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,dit was een vreselijke en ongekende daad,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"het is een geweldig idee, dus het gebeurt nooit meer",1,1,10,0,0,10,0,9,9,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,het lijkt me eerlijk omdat veel mensen stierven in dit historische feit,1,1,10,0,0,10,,,,
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"het lijkt mij juist, omdat dit mensen bewust maakt",1,1,11,0,0,11,0.272578094,10,7,3
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,het was een vreselijk feit dat een stempel op de geschiedenis heeft gedrukt,1,0.646380669,10,1,2,7,0.403960067,10,6,4
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,historisch feit waarin duizenden Joodse mensen stierven,1,0.684515375,10,1,2,7,0.454426665,9,5,4
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,10,10,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,9,9,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,10,10,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,9,9,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,9,9,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,10,10,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,9,9,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,10,10,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"in vergelijking ook nationaal bekend als de ""Auschwitz-leugen""",1,0.749994396,10,0,3,7,0.249669437,9,7,2
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"mag niet worden benadeeld, aangezien elke persoon zijn mening over het onderwerp met respect kan uiten",-1,1,10,10,0,0,0.690986152,10,3,7
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,mensen moeten over deze handeling worden geïnformeerd en het bewustzijn vergroten,1,0.761866139,10,2,0,8,0.320922634,10,7,3
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,of ontkenning van de holocaust een strafbaar feit moet zijn,1,1,10,0,0,10,0.110985527,10,9,1
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"ontkennen dat de holocaust bestond, naar de voorzitter worden gebracht",1,0.923668361,10,1,0,9,0.399716492,10,6,4
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,"ook wel bekend als ""Auschwitz lie"" vanuit nationaal perspectief in vergelijking met het overwegen",1,0.899040309,10,0,1,9,,,,
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,sdfffffffffffffffffffffffffffffffffff sdffffffffffffffffffffffff,0,1,10,0,10,0,0,10,10,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,sdfffffffffffffffffffffffffffffffffff sdffffffffffffffffffffffff,0,1,10,0,10,0,0,9,9,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,sdfffffffffffffffffffffffffffffffffff sdffffffffffffffffffffffff,0,1,10,0,10,0,0,12,12,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,sdfffffffffffffffffffffffffffffffffff sdffffffffffffffffffffffff,0,1,10,0,10,0,0,10,10,0
Holocaust denial should be a criminal offence,De ontkenning van de holocaust moet een misdrijf zijn.,sdfffffffffffffffffffffffffffffffffff sdffffffffffffffffffffffff,0,1,10,0,10,0,0,9,9,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"3 strikes ""Wetten zullen de meest gewelddadige misdaden niet afschrikken",0,0.449619761,10,2,4,4,0.774422094,5,1,4
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"3 strikes ""Wetten zullen de meest gewelddadige misdaden niet afschrikken",0,0.449619761,10,2,4,4,1,5,0,5
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,De mens heeft sociale netwerken nodig,-1,1,10,10,0,0,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,Die beste Erfindung war Social Media,-1,1,10,10,0,0,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,En toch is social media goed voor snelle nieuws te ontvangen.,-1,1,10,10,0,0,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"Het is NIET helemaal waar, omdat een deel van de voordelen van sociale netwerken wordt geïnformeerd over wat de media niet melden.",-1,0.902983492,10,9,0,1,0.912082144,9,1,8
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.500364075,10,0,5,5,0.374105783,10,6,4
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.500364075,10,0,5,5,0.809176995,9,2,7
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.500364075,10,0,5,5,0.199934511,10,8,2
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.500364075,10,0,5,5,0.33415722,9,6,3
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.500364075,10,0,5,5,1,5,0,5
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.500364075,10,0,5,5,0.465440933,10,5,5
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",0,0.500364075,10,0,5,5,0.108428224,10,9,1
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"Hoewel social media soms wordt misbruikt, is het toch nodig omdat mensen in contact staan met familie en vrienden die over de hele wereld verspreid zijn.",-1,1,10,10,0,0,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,Ik steun dit omdat het al enige tijd alleen maar dient om vals nieuws en haatberichten te promoten,1,1,10,0,0,10,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,Met name helpen ze ons om in contact te blijven met meer mensen en beter geïnformeerd te zijn over de ontwikkelingen in de wereld,-1,1,10,10,0,0,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,Op dit moment in de geschiedenis wordt er beter gebruik gemaakt van sociale netwerken,-1,0.9036173,10,9,0,1,0.382962638,9,5,4
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,Social media doet het meer goed goed,-1,0.584159904,10,6,0,4,0,9,9,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,Sociale media doen meer kwaad dan goed.,1,1,10,0,0,10,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"Sociale netwerken hebben iedereen heel goed gedaan, ze hebben ons dichter bij mensen gebracht die jaren hebben gehad zonder iets van hen te weten.",-1,1,10,10,0,0,0.918868757,10,1,9
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,Soziale Netzwerke haben keine Kindersicherung,1,1,10,0,0,10,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"Ze helpen veel met reclame en marketing voor producten
 ",-1,0.901642882,10,9,0,1,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,Zonder dat zou het moeilijker zijn om mensen te bereiken voor een product of een eenvoudig nieuwsbericht.,-1,0.891849253,10,9,0,1,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"als het waar is, brengen sociale netwerken meer kwaad dan goed",1,1,10,0,0,10,0,10,10,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,als sociale media meer kwaad dan goed aantrekken,1,1,10,0,0,10,0,9,9,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,als sociale netwerken meer kwaad dan goed doen,1,1,10,0,0,10,0,8,8,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,de kennis hebben over het gebruik ervan is erg handig,-1,0.832270661,10,8,0,2,0.310920038,10,7,3
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,deze helpen mensen die ver weg zijn om effectiever te communiceren,-1,1,10,10,0,0,1,9,0,9
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,deze helpen ons om een ​​betere communicatie te hebben,-1,1,10,10,0,0,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,deze leiden jongeren af en houden ze bezig,-1,0.82685479,10,8,0,2,0.216658995,9,7,2
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,dit is een tool die duizenden toepassingen heeft,-1,0.824504498,10,8,2,0,0.199934511,10,8,2
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,er optimaal gebruik van maken kan een vorm van inkomen zijn,-1,1,10,10,0,0,0.52385133,9,4,5
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,er zijn mensen dat dit hun werk is,-1,0.809341979,10,8,0,2,0.199934511,10,8,2
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,het misbruik ervan veroorzaakt conflicten,1,0.910148945,10,1,0,9,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,10,10,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,9,9,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,10,10,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,9,9,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,9,9,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,10,10,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,9,9,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,https://annotate.appen.com/ asddddddddddddddddddddd,0,1,10,0,10,0,0,10,10,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,in de ruimste zin het gebrek aan geloof in het bestaan ​​van Deidade,0,0.731342331,10,2,7,1,0.110985527,10,9,1
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,in de ruimste zin het gebrek aan geloof in het bestaan ​​van Deidade,0,0.731342331,10,2,7,1,0,10,10,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,in de ruimste zin het gebrek aan geloof in het bestaan ​​van Deidade,0,0.731342331,10,2,7,1,0,10,10,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,in de ruimste zin het gebrek aan geloof in het bestaan ​​van Deidade,0,0.731342331,10,2,7,1,0,9,9,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,in de ruimste zin het gebrek aan geloof in het bestaan ​​van Deidade,0,0.731342331,10,2,7,1,0,9,9,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,in de ruimste zin het gebrek aan geloof in het bestaan ​​van Deidade,0,0.731342331,10,2,7,1,0,10,10,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,ja ja sociale netwerken brengen meer kwaad dan goed,1,1,10,0,0,10,0.249669437,9,7,2
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"mits op de juiste manier gebruikt, zijn ze een zeer nuttig hulpmiddel",-1,1,10,10,0,0,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,nee geen enkele sociale media trekt meer kwaad dan goed aan,1,0.824504498,10,2,0,8,0,10,10,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,niet mp-netwerken brengen meer schade dan goed zijn zeer praktisch,1,0.701487863,10,3,0,7,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,niet sociale media doen ze meer kwaad dan goed,1,0.905597573,10,1,0,9,0,10,10,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,sdfffffffffffffffffffffffffffffffffff sdffffffffffffffffffffffff,0,1,10,0,10,0,0,10,10,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,sdfffffffffffffffffffffffffffffffffff sdffffffffffffffffffffffff,0,1,10,0,10,0,0,9,9,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,sdfffffffffffffffffffffffffffffffffff sdffffffffffffffffffffffff,0,1,10,0,10,0,0,12,12,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,sdfffffffffffffffffffffffffffffffffff sdffffffffffffffffffffffff,0,1,10,0,10,0,0,10,10,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,sdfffffffffffffffffffffffffffffffffff sdffffffffffffffffffffffff,0,1,10,0,10,0,0,9,9,0
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,sociale media hebben alleen het beste gebracht,-1,1,10,10,0,0,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,sociale netwerken hebben een sociale impact veroorzaakt in de evolutie van de mensheid. Ik zal altijd voorstander zijn,-1,0.885673618,10,9,0,1,0.587701517,10,4,6
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,sociale netwerken maakten de beleefdheidsregels absurder,1,0.811791827,10,2,0,8,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"vervreemd mensen van de werkelijkheid en de wereld
 ",1,1,10,0,0,10,,,,
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,ze brengen ons dichter bij mensen die ver weg zijn,-1,1,11,11,0,0,0.926814456,10,1,9
Social media brings more harm than good,Sociale media brengt meer kwaad dan goed,"ze helpen meer dan ze vernietigen, zelfs mensen leven ervan",-1,0.902677292,10,9,0,1,0.409010762,8,5,3
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Als je geen openbare verdediger wilt, laat dan een privéverdediger betalen",-1,1,10,10,0,0,,,,
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Der Einsatz von öffentlichen Verteidigern sollte obligatorisch sein, eine Maßnahme, die ergriffen werden sollte",1,1,10,0,0,10,0,8,8,0
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,Deze helpen mensen te beschermen die beschuldigd worden van een misdaad,1,0.830951495,11,2,0,9,0.689173052,10,3,7
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,Geen gebruik van openbare verdedigers mag niet verplicht zijn.,-1,0.902983492,10,9,0,1,0.11173522,9,8,1
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,Het gebruik van openbare verdedigers zou verplicht moeten zijn als we er niet allemaal een kunnen betalen,1,1,10,0,0,10,,,,
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",1,0.681640431,10,3,0,7,0.374105783,10,6,4
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",1,0.681640431,10,3,0,7,0.809176995,9,2,7
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",1,0.681640431,10,3,0,7,0.199934511,10,8,2
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",1,0.681640431,10,3,0,7,0.33415722,9,6,3
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",1,0.681640431,10,3,0,7,1,5,0,5
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",1,0.681640431,10,3,0,7,0.465440933,10,5,5
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, een eenvoudige misdaad of een misdrijf, te verdedigen",1,0.681640431,10,3,0,7,0.108428224,10,9,1
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, eenvoudige misdaad of misdrijf, te verdedigen",1,1,10,0,0,10,0.382962638,9,5,4
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van een misdaad, eenvoudige misdaad of misdrijf, te verdedigen",1,1,10,0,0,10,0.309898742,9,6,3
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Het is een openbare dienst, met als doel degenen die beschuldigd of beschuldigd worden van misdaad, eenvoudige misdaad of misdrijf, te verdedigen",1,1,10,0,0,10,0.821402139,10,2,8
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,Het is erg goed om te helpen het juridische proces efficiënter te maken.,1,1,10,0,0,10,0.740270896,10,3,7
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Het zou niet verplicht moeten zijn, want als u een misdaad kunt plegen, moet u een advocaat kunnen betalen",-1,1,10,10,0,0,0.827533608,10,2,8
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Hij heeft vermeden zijn troepen in gevechtsmHet is een openbare dienst, die tot doel heeft de verdachten of beklaagden van een misdaad, een eenvoudige misdaad of een misdrijf te verdedigen",1,0.596314422,10,0,4,6,,,,
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,"Ik denk dat het heel goed is, omdat er mensen zijn die zichzelf niet kunnen verdedigen",1,0.902076397,10,1,0,9,0.831606046,10,2,8
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,Ik vind het heel goed omdat mensen niet de koopkracht hebben om er een te betalen,1,0.926244126,10,0,1,9,0.911139479,9,1,8
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,Openbare verdedigers moeten voor alle burgers een verplichting zijn,1,1,10,0,0,10,0,8,8,0
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,Openbare verdedigers moeten worden aanbevolen voor intensief werk,1,0.902076397,10,1,0,9,0.31245378,10,7,3
The use of public defenders should be mandatory,Het gebruik van openbare voorvechters moet verplicht zijn,Openbare verdedigers zouden niet voor alle burgers een verplichting moeten zijn,-1,0.738231512,10,7,0,3,0.120269445,9,8,1
