topic_EN,topic_FR,argument_FR,stance_label,stance_conf,stance_num_labelers,stance_con,stance_neutral,stance_pro,quality_score,quality_num_labelers,quality_negative,quality_positive
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Le déni d'un crime pourrait passer pour un soutien  de ce crime.,1,1,6,0,0,6,0,6,6,0
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Le déni de l'Holocauste  est considéré comme un soutien aux auteurs, donc cela doit être une infraction pénale pour la haine et le racisme.",1,1,10,0,0,10,1,10,0,10
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Le déni de l'Holocauste devrait être une infraction pénale,1,1,10,0,0,10,0,10,10,0
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Le déni de l'Holocauste devrait être une infraction pénale car il encourage la haine entre les populations.,1,1,10,0,0,10,0.874690127,10,1,9
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Le déni de l'Holocauste devrait être une infraction pénale puisque c'est un crime de haine qu'on ne devrait pas défendre.,1,1,6,0,0,6,0.464165205,6,3,3
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Le déni de l'Holocauste devrait être une infraction pénale. Il n'est pas très justifié d'être déclaré comme tel.,1,1,6,0,0,6,0,6,6,0
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Le déni de l'Holocauste doit être considéré comme un crime. Le déni de l'Holocauste est l'acte de nier le génocide des Juifs pendant l'Holocauste pendant la Seconde Guerre mondiale.,1,1,20,0,0,20,,,,
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Le déni de l'Holocauste ne devrait pas être qualifié comme une infraction pénale, c'est un propos négationniste qui pourrait être blessant  mais qu'à-t-on fait de la liberté d'expression?",-1,1,10,10,0,0,,,,
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Le déni de l'Holocauste ne doit en aucun cas être considéré comme un crime. Le déni de l'Holocauste doit être considéré comme la liberté d'opinion , comme c'est le cas pour de nombreux autres cas similaires .",-1,1,6,6,0,0,1,6,0,6
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Le déni de l'holocauste ne devrait pas être une infraction pénale s'il existe ou n'incrimine pas quelqu'un qui le nie n'est pas un crime.,-1,0.813150927,10,8,0,2,0.305504318,10,7,3
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Le fait de refuser l'holocauste devrait être pénalisé car cela représenterait une offense envers la justice divine. Ceci étant une nécessité pour le bien de la communauté.,1,1,6,0,0,6,0.669803138,6,2,4
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Le refus de l'holocauste devrait être considéré comme étant une infraction pénale car cela représenterait une offense envers la justice divine, qu'il ne faudrait pas négliger.",1,1,10,0,0,10,0.415096173,10,5,5
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Les propos négationnistes sur  l'holocauste c'est nier la souffrance des victimes de la Shoah et  ceux-ci ne relèvent pas du droit de la liberté d'expression.,1,0.908480798,10,1,0,9,0.551574385,10,4,6
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,L’holocauste était juste contre les méchants,-1,1,10,10,0,0,0.088900848,10,9,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Ne pas accepter l'holocauste ne devrait pas être sanctionné car chacun devrait être libre de croire en ce qu'il veut. La justice humaine n'est pas la même que celle des divinités.,-1,1,10,10,0,0,0.736367775,10,2,8
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Nier l'holocauste c'est nier la mort de 6 millions de personnes, c'est nier l'horreur et le risque de la voir revenir.",1,1,11,0,0,11,0.749680168,11,2,9
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Nier l'holocauste est une opinion de la personne.,-1,0.83447222,6,5,1,0,0.187190376,6,5,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Nier l'holocauste, c'est comme dire que cela ne s'est jamais produit.",1,1,11,0,0,11,0.176651425,11,8,3
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Nier un fait aussi important dans l'histoire devrait être puni, si vous pensez que cela n'affecte rien, c'est contre la morale et contre tous les mots",1,1,6,0,0,6,0.600021112,6,2,4
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,On devrait avoir le droit de ne pas reconnaitre l'holocauste sans risquer de peine car le droit à la liberté de conscience et d'expression est un droit absolu et inaltérable.,-1,0.915327296,10,9,1,0,,,,
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,On doit accepter la verite et les preuves de l'histoire par respect au peuple juif,1,1,10,0,0,10,0.526836112,10,4,6
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,On doit laisser chacun penser comme il veut,-1,0.850055506,6,5,0,1,0.399978888,6,4,2
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Oui,dire que l'holocauste n'a pas existé,c'est très grave.
Il y a eu des millions de morts... des femmes,des hommes et des enfants sont morts.",1,1,10,0,0,10,0.35811564,10,5,5
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Oui,il y a eu de nombreux morts et nier que c'est arrivé est très grave.
Il y a eu des milliers de morts .",1,1,10,0,0,10,0.304518322,10,6,4
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Parce que lorsque des gens et des peuples ont soufferts, il est important de ne pas attaquer des événements historiques pour faire avancer des agendas personnels ou collectifs.",1,0.913795008,11,1,0,10,0.749680168,11,2,9
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Pas parce que ce n'est pas quelque chose de si sérieux,-1,0.804390572,10,8,1,1,,,,
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,SI CELA DEVRAIT ÊTRE UN CRIME DEPUIS LE DÉCÈS DE 6 MILLIONS DE JUIFS CONTRE LES DROITS DE L'HOMME,1,1,10,0,0,10,0.304518322,10,6,4
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Tous ceux qui prétendent qu'il n'y a pas d'holocauste contre les Juifs doivent être tenus responsables d'avoir contribué à répandre le crime,1,0.739815137,10,3,0,7,,,,
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Tout acts de discrimination est illégale.,1,1,6,0,0,6,0.118284508,6,5,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,Tout le monde devrait avoir le droit d'avoir ses propres croyances et convictions sans avoir peur de se faire arrêter et juger.,-1,1,6,6,0,0,1,6,0,6
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Une loi internationale devrait être faite, mais elle prévoit une peine minimale pour les personnalités publiques qui parlent du sujet de haine",1,0.835482959,6,0,1,5,0.118284508,6,5,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"also known as ""Auschwitz lie"" from a national perspective
in comparison considering",1,0.359599811,10,3,5,2,,,,
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,c'est un crime de racisime à l'image de la guerre d'algérie,1,1,10,0,0,10,0.546075433,10,5,5
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,chacun est libre de penser ce qu'il veut,-1,1,10,10,0,0,0.088900848,10,9,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,comment éliminer quelque chose qui a voyagé dans le monde et fait tellement de morts,1,0.698324613,10,1,2,7,0.088900848,10,9,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"geen ontkenning van de holocaust mag een strafbaar feit zijn, omdat we dat verhaal moeten vergeten",-1,0.826814218,6,5,1,0,0,6,6,0
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,il faut arrêter le déni de l'holocauste car cela revient à faire de la non assistance à  une personne en danger. C'est tout simplement innadmissible,1,1,10,0,0,10,0.473738035,10,4,6
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"l'histoire est une science humaine basé sur les débats, les débats font avancer l'histoire, nous devons explorer toutes les facettes de l'histoire nous ne pouvons mettre un crime sur des idées",-1,1,6,6,0,0,1,6,0,6
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,l'holocauste mérite d'être rappelé pour ne jamais sucer...,1,0.702498469,11,1,2,8,0,11,11,0
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"l'holocauste n'est pas pour un débat, il est arrivé la preuve est là",1,0.719119685,10,1,2,7,0.204843127,10,8,2
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,l'holocauste n'existait pas est une simple parodie pour aller après les Allemands,-1,0.897370108,10,9,1,0,0,10,10,0
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,la liberte d'expression permet ce nier l'holocauste,-1,0.913795008,10,9,0,1,0.60308025,10,4,6
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,la negation de l'holocauste est une insulte a la memoire des victimes,1,1,10,0,0,10,0.338409964,10,6,4
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,le déni ne devrait pas être une infraction pénale car ... Je n'ai pas d'argument pour le contester,-1,0.59169059,10,6,1,3,0.286415065,10,7,3
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"nier l'holocauste n'est pas un crime, si vous voulez oublier cette erreur dans l'histoire, c'est votre droit",-1,1,6,6,0,0,0.254140416,6,4,2
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"oui car il a bel et bien existé et le nié, c'est nié son passé",1,1,6,0,0,6,0.254140416,6,4,2
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"pourrait être légalement pénalisé pour ceux qui le prennent pour une moquerie, à ce massacre historique",1,1,10,0,0,10,0.231457203,10,7,3
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"s'il s'agit d'une infraction pénale, elle est inacceptable",1,1,10,0,0,10,0,10,10,0
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,tous ceux qui nient l'holocauste et la plus grande aberration des nazis doivent aller en prison,1,1,10,0,0,10,0.19999597,10,8,2
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,tout faithistorique doit etre  ridiculsé pour pouvoir etre examiné et ameloré avec objectivité.,1,0.601081118,11,5,0,6,0.081571938,11,10,1
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,tout massacre doit être puni dans le monde,1,0.80647758,10,0,2,8,0,10,10,0
Holocaust denial should be a criminal offence,Le déni de l'Holocauste devrait être une infraction pénale,"Être une infraction pénale est une exagération qui, si l'on peut tenir compte du fait que de la bouche d'une personnalité publique, elle est sanctionnée",-1,1,10,9,1,0,0,5,5,0
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"A cause des médias sociaux, les gens peuvent voir plein de débilité sur le net, il n'y a plus de limite dans la connerie car faire le buzz est une priorité pour certaines personnes",1,0.821416413,10,2,0,8,0.678658622,10,3,7
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Au cours des 10 prochaines années, les médias sociaux, comme nous le savons, suivront la bande 8 pistes, l'appareil photo jetable et le télécopieur.",0,0.719425704,10,2,7,1,,,,
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Avec leurs presences, les reseaux sociaux ont aide les gens a se raprocher et pouvoir communiquer sans limites",-1,0.891251485,10,9,0,1,,,,
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"C'est une réalité que les médias sociaux ont des inconvénients par rapport à certains utilisateurs, mais la façon dont le monde est interconnecté maintenant est un plus grand bien.",-1,0.821416413,10,8,0,2,0.928978454,10,1,9
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"C'est vrai, les médias sociaux permettent plus facilement de critiquer ou insulter anonymement sans réel risque de poursuites.",1,1,10,0,0,10,0.884377604,10,1,9
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Ca aide a circuler des rumers et des fausses infos,1,1,10,0,0,10,,,,
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Gaspillage de temps et de santé dans les médias sociaux,1,1,10,0,0,10,0.47874279,10,6,4
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"L'absence de réglementation sur les réseaux sociaux en a fait un site de Bulyying virtuel, où les victimes sont sans défense",1,1,10,0,0,10,1,10,0,10
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,L'addiction au média sociaux est un majeur probleme chez les jeunes.,1,0.91324499,10,1,0,9,0.389823542,10,5,5
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,L'un des nombreux points positifs des médias sociaux est qu'il unit les gens,-1,1,10,10,0,0,0.801629009,10,2,8
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,La presence de tels reseaux donne au gens la possibilite de ne pas travailler et passer du temps sans valeur sur internet,1,1,10,0,0,10,0.468300547,10,6,4
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Le deuxième aspect est d'en profiter et de réaliser un retour moral ou matériel,-1,0.60170382,10,6,4,0,0.459656339,10,6,4
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les gens passent trop de temps sur les réseaux sociaux,1,0.601981877,10,1,3,6,,,,
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les gens se fréquentent moins face à face, donc les médias sociaux sont toxiques.",1,1,10,0,0,10,,,,
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les jeunes aldolescents passent trop de temps sur les reseaux sociaux.,1,1,10,0,0,10,0.24587646,10,7,3
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les moyens de communication ont deux faces
Le premier est une mauvaise utilisation pour perdre du temps",1,0.66995518,6,0,2,4,0,6,6,0
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux connectent les gens entre eux et servent à promouvoir des produits.,-1,1,10,10,0,0,0.881575968,10,1,9
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les médias sociaux font plus de bien que de mal car ils aident à rapprocher le monde entier, en se  partageant nos richesses culturelles.",-1,1,10,10,0,0,1,10,0,10
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux font plus de mal que de bien,1,1,10,0,0,10,0.058641862,10,9,1
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux font plus de mal que de bien bien,1,0.90742372,10,1,0,9,,,,
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux ne sont qu'un moyen rapide de communiquer et d'échanger des idées sans restriction et donc ses grands avantages sont clairs,-1,1,10,10,0,0,0.916085507,10,1,9
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux nous sensibilisent à ce qui se passe dans le monde,-1,0.913795008,11,10,0,1,0.786496481,11,3,8
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les médias sociaux ont atteint des niveaux inattendus, vous pouvez trouver la violence, le sexe, la drogue, d'une manière très simple qui fait peur, les médias sociaux sont plus une arme qu'un outil",1,1,10,0,0,10,1,10,0,10
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les médias sociaux ont des avantages dans la décentralisation de l'information et des idées, et donc son rôle dans la promotion des libertés fondamentales",-1,0.676409503,10,7,0,3,1,10,0,10
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux ont entraîné des brimades et des escroqueries en ligne.,1,1,6,0,0,6,0.856993513,6,1,5
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux permettent aux gens de garder le contact avec des gens proches d'eux ou des gens qu'ils ne pourraient pas retrouver autrement qu'en cherchant sur Facebook,-1,1,10,10,0,0,0.941358138,10,1,9
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les médias sociaux permettent de garder le contact avec des gens que l'on aurait autrement perdus de vue, ils abolissent les distances.",-1,1,10,10,0,0,1,10,0,10
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux permettent la liberté d'expression sans censure.,-1,1,10,10,0,0,1,10,0,10
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux permettent tout de même de favoriser la liberté d'expression: chacun est libre d'exprimer son avis sans crainte d'être censuré.,-1,1,10,10,0,0,0.808608159,10,2,8
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux permettent à chacun d'insulter et de s'exprimer anonymement. Les gens n'ont donc pas peur de dépasser les limites car il y a peu de sanctions.,1,1,10,0,0,10,1,10,0,10
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les médias sociaux permettent à tous d'échanger, de se rejoindre et d'avoir une voix.",-1,1,10,10,0,0,0.928978454,10,1,9
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux peuvent être nuisibles,1,1,6,0,0,6,0,6,6,0
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les médias sociaux peuvent être très dangereux pour surtout pour les enfants et jeune adolescents car certaines personnes peuvent s'en servir pour arnaquer, piéger ou même harceler les autres.",1,1,10,0,0,10,,,,
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux rapprochent les gens et font du monde un petit village,-1,1,10,10,0,0,0,10,10,0
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux rendent les gens végétatifs et superficiels et encourage le narcissisme.,1,1,10,0,0,10,0.74249157,10,2,8
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux représentent plus  d'avantages   que d'inconvénients comme ils nous permettent de nous ouvrir sur des relations internationnales.,-1,1,10,10,0,0,1,10,0,10
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux représentent plus d'inconvénients que d'avantages car ils sont la source de délits de la cybercriminalité dont la jeunesse de nos jours est le premier cible.,1,1,10,0,0,10,,,,
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les médias sociaux sont aussi des lieux de solidarité et d'aide.  Garder le contact avec sa famille, ses amis et collègues ainsi que  le partage de connaissances.",-1,1,6,6,0,0,1,6,0,6
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les médias sociaux sont généralement utilisés par des non-professionnels pour transmettre des idées populistes et primitives sans aucune censure, ce qui les rend plus nuisibles que bonnes.",1,1,6,0,0,6,1,6,0,6
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux sont supposés nous rapprocher mais en vérité ils nous gardent derrière un écran plutôt que d'aller vers les gens.,1,0.840258132,10,0,1,9,,,,
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les médias sociaux sont un outil formidables d’éducation et d'apprentissage vu la quantité phénoménale d'information qu'ils contiennent.,-1,1,10,10,0,0,1,10,0,10
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les réseaux sociaux augmentent la participation des électeurs et facilitent le changement politique,-1,1,6,6,0,0,0.881715492,6,1,5
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les réseaux sociaux permet aux pédophiles de séduire des jeunes filles pour abuser d'elles.,1,1,10,0,0,10,0.86829702,10,2,8
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les réseaux sociaux permettent aux gens de connaitre de nouvelles personnes, de découvrir de nouvelles choses, d'apprendre pleins de choses",-1,1,6,6,0,0,1,6,0,6
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les réseaux sociaux permettent de remédier à la solitude et remplir le vide relationnel .,-1,0.913795008,10,9,0,1,0.881575968,10,1,9
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les réseaux sociaux peuvent aider à désamorcer les stigmates sociaux comme l'anxiété ou la dépression,-1,1,10,10,0,0,1,10,0,10
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les réseaux sociaux peuvent être aussi les vecteur d'apprentissage de sciences et de couverte dans différent domaine tel que l'astronomie,l’économie etc",-1,1,6,6,0,0,0.881715492,6,1,5
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les réseaux sociaux peuvent être source de beaucoup de problèmes comme le Cyber -harcèlement,1,1,6,0,0,6,1,6,0,6
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les réseaux sociaux représentent un bon avantage pour la communication en temps réel et sans interruption,-1,1,6,6,0,0,0.856993513,6,1,5
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Les réseaux sociaux sont bien, mais ils sont juste la bonne quantité.
Ils peuvent être utiles",-1,1,10,10,0,0,0.286415065,10,7,3
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les réseaux sociaux sont d'une grande importance pour la communication entre famille ou amis éloignés et nous informent de ce qui se passe dans le monde.,-1,1,6,6,0,0,1,6,0,6
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,Les réseaux sociaux sont surveillés avec différentes politiques pour en faire un lieu agréable,-1,1,10,9,1,0,0.547846845,10,6,4
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Oui, car la santé mentale de ce que vous voyez en ligne vous affecte",1,1,10,0,0,10,0.546075433,10,5,5
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"SI LES MÉDIAS SOCIAUX SONT UNE ARME À DOUBLE BORD, CELA POURRAIT ENDOMMAGER ERSONA OU UN ENFANT ADULTE.",1,1,10,0,0,10,,,,
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"Sur les réseaux sociaux, on peut constater souvent un manque de morale, des problèmes de harcèlement , de piratage  et de dépendance chez les adolescents et adultes.",1,1,10,0,0,10,,,,
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,"bon après-midi Monsieur / Madame la Présidente, Mesdames et Messieurs. Le sujet de notre débat est que les réseaux sociaux",0,1,10,0,10,0,,,,
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,ils sont devenus un cancer total pour la société exposant la vie de ceux qui ne veulent pas être vus,1,1,10,0,0,10,0.786496481,10,2,8
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,les médias sociaux font plus de bien que de mal car ils permettent aux personnes éloignées de garder le contact.,-1,0.826814218,6,5,0,1,0.881715492,6,1,5
Social media brings more harm than good,Les médias sociaux font plus de mal que de bien,les médias sociaux font plus de mal que de bien car ils facilitent la diffamation.,1,1,10,0,0,10,0.873341564,10,2,8
