topic_EN,topic_DE,sentence_EN,evidence_label_EN,evidence_score_EN,stance_label_EN,sentence_DE_ht,evidence_label_ht,evidence_conf_ht,evidence_num_labelers_ht,evidence_accept_ht,evidence_reject_ht,stance_label_ht,stance_conf_ht,stance_num_labelers_ht,stance_pro_ht,stance_con_ht,sentence_DE_mt,evidence_label_mt,evidence_conf_mt,evidence_num_labelers_mt,evidence_accept_mt,evidence_reject_mt,stance_label_mt,stance_conf_mt,stance_num_labelers_mt,stance_pro_mt,stance_con_mt
Flu vaccination should be mandatory,Grippe-Impfung sollte obligatorisch sein,"Nevertheless, the CDC recommends that elderly adults get the flu vaccine because influenza infection is particularly dangerous in this population and vaccine provides at least a moderate level of immunity to the flu virus.",1,1,1,"Trotzdem emphiehlt der CDC, dass sich aeltere Erwachsene schutzimpfen lassen, da die Grippeinfektion fuer diese Bevoelkerungsschicht besonders gefaehrlich ist und der Imppfstoff bietet  wenigstens einen maessigen Grad Immunitaet gegen den Grippevirus .",1,1,7,7,0,1,1,7,7,0,"Dennoch empfiehlt der CDC, dass ältere Erwachsene den Grippeimpfstoff bekommen, weil eine Grippeinfektion in dieser Population besonders gefährlich ist und der Impfstoff zumindest eine moderate Immunität gegen das Grippevirus bietet.",1,1,7,7,0,1,1,7,7,0
Flu vaccination should be mandatory,Grippe-Impfung sollte obligatorisch sein,"Various public health organizations, including the World Health Organization, have recommended that yearly influenza vaccination be routinely offered, particularly to people at risk of complications of influenza and those individuals who live with or care for high-risk individuals, including: ",1,0.9,1,"Verschiedene Organisationen des öffentlichen Gesundheitswesens, darunter auch die Weltgesundheitsorganisation, haben empfohlen, routinemäßig jährliche Grippeimpfungen anzubieten, insbesondere für Menschen, die einem Risiko für Grippekomplikationen ausgesetzt sind, sowie für Personen, die mit Hochrisikopersonen leben oder diese pflegen:",0,0.51593613,10,4,6,1,1,4,4,0,"Verschiedene öffentliche Gesundheitsorganisationen, darunter auch die Weltgesundheitsorganisation, haben empfohlen, regelmäßig eine Grippeimpfung anzubieten, insbesondere für Menschen, die mit Komplikationen der Influenza und mit Personen, die mit Hochrisiko-Personen leben oder sie versorgen, gefährdet sind, darunter: ",0,0.589033786,10,4,6,1,1,4,4,0
Force-feeding should be banned,Kraft-Fütterung sollte verboten werden,"The effects of force feeding have even been likened to ""sexual assault"" by some scholars like June Purvis (Professor of Sociology at Portsmouth University); who cites the ill treatment of women in the Suffragette movement.",1,1,1,"Der Effkt der Zwangsernaehrung wurde von manchen Wissenschaftlern, wie June Purvis (Professor der Soziologie an der Portsmouth Universitaet)  mit einem sexuellen Angriff verglichen, die als Beispiel die  grobe Misshandlung der Frauen in der Suffragettenbewegung nennt.",1,1,7,7,0,1,1,7,7,0,"Die Auswirkungen der Krafteinspeisung wurden sogar von einigen Gelehrten wie Juni Purvis (Professor für Soziologie an der Portsmouth University) mit ""sexuellen Übergriffen"" verglichen; wer die kranke Behandlung von Frauen in der Suffragette-Bewegung zitiert.",0,0.654867785,10,4,6,1,1,4,3,1
Force-feeding should be banned,Kraft-Fütterung sollte verboten werden,"Former prisoner Fawzi al-Odah told the BBC in 2006 that force-feeding of hunger strikers in Guantanamo amounts to torture and the UN Human Rights Commission said it regards force-feeding at Guantanamo as a form of torture, a charge the US firmly has repeatedly denied.  ",1,1,1,"Der ehemalige Häftling Fawzi al-Odah sagte 2006 gegenüber der BBC, dass die Zwangsernährung von Hungerstreikenden in Guantanamo Folter gleichkommt, und die UN-Menschenrechtskommission erklärte, sie betrachte die Zwangsernährung in Guantanamo als eine Form der Folter, eine Anklage, die die USA wiederholt entschieden zurückgewiesen haben.",1,0.957803642,11,9,2,1,1,9,9,0,"Der ehemalige Gefangene Fawzi al-Odah sagte der BBC im Jahr 2006, dass die Vorspeisung von Hungerstreikenden in Guantanamo Folter und die UN-Menschenrechtskommission erklärte, sie betrachte die Futterverfütterung in Guantanamo als eine Form der Folter, eine Anklage, die die USA entschieden immer wieder geleugnet haben.  ",1,0.948420839,10,9,1,1,1,9,9,0
Jury duty should not be mandatory,Jurypflicht sollte nicht Pflicht sein,"Indeed, the famous legal scholar Blackstone wrote in the 18th century that women were rightfully prohibited from jury service because of what he labeled the defect of sex, which made them incapable of the intelligent decision-making required for jury duty.",0,0.1,0,"In der Tat schrieb der berühmte Rechtsgelehrte Blackstone im 18. Jahrhundert, dass Frauen zu Recht vom Jury-Dienst ausgeschlossen seien, weil sie aufgrund dessen, was er als Geschlechtsfehler bezeichnete, nicht in der Lage seien, die für den Jury-Dienst erforderliche intelligente Entscheidungsfindung zu treffen.",0,1,7,0,7,,,0,0,0,"Tatsächlich schrieb der berühmte Rechtsgelehrte Blackstone im 18. Jahrhundert, dass Frauen aufgrund dessen, was er mit dem Mangel an Sex bezeichnete, rechtmäßig von der Jury unterbunden wurden, was sie unfähig machte, die für die Geschworenenpflicht erforderliche intelligente Entscheidungsfindung zu schaffen.",0,1,7,0,7,,,0,0,0
Jury duty should not be mandatory,Jurypflicht sollte nicht Pflicht sein,She was part of the Commission on Justice in the 21st Century and the Co-chair of the Committee on Improving Jury Service.,0,0,0,Sie war Mitglied der Commission on Justice im 21. Jahrhundert und stellvertretende Vorsitzende des Commitee on Improving Jury Service.,0,1,7,0,7,,,0,0,0,Sie war Teil der Kommission für Justiz im 21. Jahrhundert und der Vorsitzende des Ausschusses für die Verbesserung der Jury-Service.,0,1,7,0,7,,,0,0,0
Minority groups should be protected,Minderheitengruppen sollten geschützt werden,"Freedom House has reported, in July 2005, that some ethnic minorities have encountered discrimination in such areas as housing, education, and employment.",1,0.9,1,"Freedom House hat im Juli 2005 berichtet, dass einige ethnische Minderheiten in Bereichen wie Wohnen, Bildung und Beschäftigung auf Diskriminierung gestoßen sind.",1,0.796942562,11,9,2,1,1,9,9,0,"Freedom House hat im Juli 2005 berichtet, dass einige ethnische Minderheiten Diskriminierung in Bereichen wie Wohnung, Bildung und Beschäftigung festgestellt haben.",1,0.943939458,10,9,1,1,1,9,9,0
Minority groups should be protected,Minderheitengruppen sollten geschützt werden,"In 1999, President Bill Clinton appointed her to the Presidential Commission on the Advancement of Women and Minorities in Science, Engineering, and Technology.",0,0.181818182,0,"President Clinten berief sie 1999 in die  Presidential Commission on the Advancement of Women and Minorities in Science, Engineering and Technology",0,0.527758938,10,3,7,1,1,3,3,0,"Im Jahr 1999 ernannte Präsident Bill Clinton sie zur Präsidialkommission zur Förderung von Frauen und Minderheiten in Wissenschaft, Technik und Technologie.",1,0.766946569,10,6,4,1,1,6,6,0
Payday loans should be banned,Zahlungstag Darlehen sollten verboten werden,""".. payday lending services extend small amounts of uncollateralized credit to high-risk borrowers, and provide loans to poor households when other financial institutions will not.",1,0.666666667,-1,"""... Zahltagskredite vergeben kleine unbesicherte Kreditbeträge an Kreditnehmer mit hohem Risiko und stellen armen Haushalten Darlehen zur Verfügung, während andere Finanzinstitutionen dies nicht tun.",0,0.508685909,10,5,5,1,1,5,1,4,""" .. Zahlungstag Kreditdienstleistungen verlängern kleine Beträge von unbesicherten Krediten an hochrisikoreiche Kreditnehmer, und Darlehen an arme Haushalte, wenn andere Finanzinstitute nicht.",1,0.7526382,10,5,5,-1,1,5,0,5
Payday loans should be banned,Zahlungstag Darlehen sollten verboten werden,"Besides putting people into debt, payday loans can also help borrowers reduce their debts.",0,0.214285714,0,"Ausser Leute in Schulden zu stuerzen, koennen Kleinkredite den Kreditnehmern auch helfen ihre Schulden zu reduzieren.",1,0.577563182,10,7,3,,,7,3,4,"Neben der Verschuldung können auch die Zahlungstätterdarlehen den Kreditnehmern helfen, ihre Schulden abzubauen.",1,1,7,7,0,-1,1,7,0,7
The Euro should be abandoned,Der Euro sollte aufgegeben werden,"On a global level, there is evidence that the introduction of the euro has led to an integration in terms of investment in bond portfolios, with eurozone countries lending and borrowing more between each other than with other countries.",1,0.75,-1,"Auf globaler Ebene gbit es Anzeichen, dass die Einfuehrung des Euro  zu einer Integrierung  bezueglich Investitionen in Bonds fuehrte, mit Eurzonlaendern mehr untereinander verleihen und borgen als mit anderen Laendern . ",0,0.664565713,10,4,6,-1,1,4,0,4,"Auf globaler Ebene gibt es Belege dafür, dass die Einführung des Euro zu einer Integration in Bezug auf Investitionen in Anleiheportfolios geführt hat, wobei die Länder der Eurozone mehr zwischen den anderen Ländern als mit anderen Ländern Kredite vergeben und Kredite aufgenommen haben.",0,0.756381749,10,3,7,-1,1,3,0,3
The Euro should be abandoned,Der Euro sollte aufgegeben werden,"To Raw, Sir Lancelot's importance is that he embodies ""mainstream Euro representations of the African American experience - on the one hand he portrays the Caribbean as a holiday-maker's paradise, full of sunshine, sea and limitless pleasures; on the other hand it is also a place of great danger, wherein westerners are perpetually vulnerable to attack by unknown forces.""",0,0,0,"Für Raw ist Sir Lancelot wichtig, dass er ""Mainstream-Euro-Darstellungen der afroamerikanischen Erfahrung verkörpert - auf der einen Seite stellt er die Karibik als Urlaubsparadies dar, voller Sonnenschein, Meer und grenzenloser Freuden; auf der anderen Seite ist sie auch ein Ort großer Gefahr, an dem die Menschen im Westen ständig Angriffen unbekannter Kräfte ausgesetzt sind"".",0,1,11,1,10,,,1,0,1,"Zu Raw ist Sir Lancelots Bedeutung, dass er ""Mainstream-Euro-Darstellungen der afrikanischen amerikanischen Erfahrung"" verkörpert-auf der einen Seite porträtiert er die Karibik als Urlauberparadies, voller Sonnenschein, Meer und grenzenlosen Freuden; auf der anderen Seite ist es auch ein Ort großer Gefahr, in dem die Westmäler auf Dauer verwundbar sind, um durch unbekannte Kräfte anzugreifen. """,0,1,7,0,7,,,0,0,0
We should abandon Twitter,Wir sollten auf Twitter verzichten,Some studies indicate that the use of Twitter can positively impact the number of times a scientific article is cited.,1,1,-1,"Einige Studien deuten darauf hin, dass sich die Nutzung von Twitter positiv auf die Anzahl der Zitate eines wissenschaftlichen Artikels auswirken kann.",1,0.962517134,10,9,1,-1,1,9,0,9,"Einige Studien deuten darauf hin, dass die Verwendung von Twitter positive Auswirkungen auf die Anzahl der Male, die ein wissenschaftlicher Artikel zitiert wird.",1,1,7,7,0,-1,1,7,0,7
We should abandon Twitter,Wir sollten auf Twitter verzichten,"In the UK, a survey indicated that 17% of small British businesses were using Twitter, mainly to attract new customers.  ",1,0.727272727,-1,"In UK, zeigte eine Umfrage, dass 17% kleiner britischer  Betriebe benutztenTwitter hauptsaechlich um neue Kunden anzuziehen.",1,0.957603462,10,9,1,-1,1,9,0,9,"Im Vereinigten Königreich ergab eine Umfrage, dass 17% der kleinen britischen Unternehmen Twitter nutzten, um vor allem neue Kunden zu gewinnen.  ",1,0.862807612,10,9,1,-1,1,9,0,9
We should abandon Valentine's day,Wir sollten den Valentinstag verlassen.,Robert Everett-Green of The Globe and Mail wrote that Valentine's Day was reminiscent of the works of Marquis de Sade and the 1973 French/Italian film La Grande Bouffe.  ,0,0,0,"Robert Everett-Green von The Globe and Mail schrieb, dass der Valentinstag an die Werke von Marquis de Sade und den französisch-italienischen Film La Grande Bouffe von 1973 erinnerte.  ",0,0.83279422,10,2,8,,,2,0,2,"Robert Everett-Green of The Globe and Mail schrieb, der Valentinstag erinnerte an die Werke von Marquis de Sade und den französischen/italienischen Film La Grande Bouffe aus dem Jahr 1973.  ",0,1,7,0,7,,,0,0,0
We should abandon Valentine's day,Wir sollten den Valentinstag verlassen.,"Shafik Rehman - Journalist, political analyst, and writer, who is best known for introducing Valentine's Day in Bangladesh.",0,0,0,"Shafik Rehman - Journalist, politischer Analyst und Schriftsteller ist am meisten dafuer bekannt, dass er Valentinstag in Bangladesh einfuehrte .",0,0.925144565,9,1,8,,,1,0,1,"Shafik Rehman-Journalist, politischer Analyst und Schriftsteller, der am besten für die Einführung des Valentinstags in Bangladesch bekannt ist.",0,0.945667016,10,1,9,,,1,0,1
We should abandon Zionism,Wir sollten den Zionismus aufgeben.,"In 1917, Britain drafted the Balfour Declaration, becoming the first Great Power to support Zionist calls for a 'Jewish National Home' in Palestine.",1,0.833333333,-1,"1917 entwarf Britanien die Balfour Deklaration und wurde die erste Grossmacht, die die Forderung der Zionisten nach einem ""Juedischen nationalen Palestina unterstuetzte.",1,1,7,7,0,-1,1,7,0,7,"Im Jahr 1917 verfasste Großbritannien die Balfour-Erklärung und wurde die erste große Macht, die Zionisten für ein ""jüdisches nationales Zuhause"" in Palästina unterstützt.",1,1,7,7,0,-1,1,7,0,7
We should abandon Zionism,Wir sollten den Zionismus aufgeben.,"Hamas spokesman Ismail Abu Shanab stated that he expected to see ""a series of operations against the Zionist enemy, as a result of the daily brutal crimes against our people."" .  ",1,1,1,"Der Sprecher der Hamas, Ismail Abu Shanab, erklärte, er erwarte ""eine Reihe von Operationen gegen den zionistischen Feind als Folge der täglichen brutalen Verbrechen gegen unser Volk"".",0,0.913731439,11,3,8,,,3,2,1,"Hamas-Sprecher Ismail Abu Shanab erklärte, er erwarte, dass ""eine Reihe von Operationen gegen den zionistischen Feind, als Ergebnis der täglichen brutalen Verbrechen gegen unser Volk"".  ",0,0.876423197,11,2,9,,,2,1,1
We should abandon alimony,Wir sollten die Alimonie aufgeben.,*[[Alimony|Spousal support]] states that alimony is affected by .  ,0,0,0,"""[[Alimente/Gattenunterhaltszahlung]] gibt an, dass Alimente sind von beinflusst ",0,1,7,0,7,,,0,0,0,"* [ [Alimony | Spotify Support]] stellt fest, dass die Alimonie davon betroffen ist.  ",0,1,7,0,7,,,0,0,0
We should abandon alimony,Wir sollten die Alimonie aufgeben.,"In 2012, Massachusetts signed into law comprehensive alimony reform.",0,0.4,-1,2012 unterzeichnete Massachusetts eine umfassende Reform des Unterhaltsrechts.,0,0.68810281,11,3,8,,,3,0,3,2012 unterzeichnete Massachusetts eine umfassende Reform des Alimoniegesetzes.,1,0.646209003,11,5,6,-1,1,5,0,5
We should abandon brick and mortar companies,Wir sollten die Ziegel-und Mörserfirmen aufgeben.,"Originally hand-made and distributed from a residential location, the company has since expanded to several brick-and-mortar stores and maintains a heavy online presence.",0,0.5,-1," Ursprunelich handgefertigt und aus einem Wohnhaus geliefert, hat die Firma seitdem zu mehreren Laeden expandiert und hat eine erhebliche online Praesenz.",0,0.73369497,10,3,7,,,3,0,3,"Ursprünglich handgefertigt und von einem Wohnstandort vertrieben, hat sich das Unternehmen seither zu mehreren Brick-and-Mörser-Geschäften ausgebaut und unterhält eine schwere Online-Präsenz.",0,0.934525441,10,1,9,,,1,0,1
We should abandon brick and mortar companies,Wir sollten die Ziegel-und Mörserfirmen aufgeben.,"E-learning is increasingly being utilized by students who may not want to go to traditional brick and mortar schools due to severe allergies or other medical issues, fear of school violence and school bullying and students whose parents would like to homeschool but do not feel qualified .",0,0.15,1,"E-Learning wird zunehmend von Schülerinnen und Schülern genutzt, die aufgrund schwerer Allergien oder anderer medizinischer Probleme, aus Angst vor Gewalt und Mobbing in der Schule und von Schülerinnen und Schülern, deren Eltern gerne zu Hause unterrichtet werden möchten, sich aber nicht qualifiziert fühlen, nicht auf traditionelle Ziegel- und Mörtelschulen gehen wollen.",0,0.757184409,10,3,7,,,3,3,0,"E-Learning wird zunehmend von Studenten genutzt, die aufgrund schwerer Allergien oder anderer medizinischer Probleme, Angst vor Schulgewalt und Schulbullying und Studenten, deren Eltern sich gerne Homeschool wünschen, sich aber nicht qualifiziert fühlen, nicht in die traditionellen Ziegel-und Mörserschulen gehen wollen.",0,0.906815562,10,1,9,,,1,1,0
We should abandon chain stores,Wir sollten Kettenläden aufgeben,"China Nepstar Chain Drugstore Limited (NPD.NYSE) plans to open 1,050 new chain stores in 2008 and expects to have more than 3000 outlets with about eight million of registered customers by then, said Qian Jiannong, CEO of China Nepstar Chain Drugstore.  ",1,0.7,-1,"China Nepstar Chain Drugstore Limited (NPD.NYSE) plant 2008 1,050 neue Kettenlaeden zu eroeffnen und ewarted bis dahin mehr als 3000 Verkaufsstellen mit ungefaehr acht Millionen registrierten Kunden zu haben, sagte Quian Jiannong, CEO von China Nepstar Chain Drugstore.",1,0.685543356,10,6,4,-1,1,6,0,6,"China Nepstar Chain Drugstore Limited (NPD.NYSE) plant, im Jahr 2008 1.050 neue Filialgeschäfte zu eröffnen und erwartet bis dahin mehr als 3000 Filialen mit rund acht Millionen registrierten Kunden, sagte Qian Jiannong, CEO von China Nepstar Chain Drugstore.  ",1,0.835070361,10,7,3,-1,1,7,2,5
We should abandon chain stores,Wir sollten Kettenläden aufgeben,"In July 2015, Smart-Holding and Fozzy Group reached an agreement to implement a joint project to fully restore the operations of Amstor retail chain.",0,0.2,0,Im Juli 2015 erzielten die Smart-Holding und die Fozzy Group eine Vereinbarung über die Umsetzung eines gemeinsamen Projekts zur vollständigen Wiederherstellung des Betriebs der Einzelhandelskette Amstor.,0,1,8,0,8,,,0,0,0,"Im Juli 2015 haben die Smart-Holding und die Fozzy Group eine Vereinbarung getroffen, ein gemeinsames Projekt umzusetzen, um die Geschäfte der Handelskette von Amstor vollständig wiederherzustellen.",0,1,7,0,7,,,0,0,0
We should abandon motorcycles,Wir sollten Motorräder aufgeben,".. that when invited to lunch at the Bank of England, the economist Adam Ridley arrived by motorcycle?",0,0,0,"... dass der Wirtschaftswissenschaftler Adam Ridley mit dem Motorrad anreiste, als er zum Mittagessen in die Bank of England eingeladen wurde?",0,1,7,0,7,,,0,0,0,".. dass, wenn eingeladen zum Mittagessen bei der Bank of England, der Ökonom Adam Ridley mit dem Motorrad angekommen?",0,1,8,0,8,,,0,0,0
We should abandon motorcycles,Wir sollten Motorräder aufgeben,"Preliminary results from a study in the United Kingdom, conducted by the University of Nottingham for the Department for Transport, show that filtering is responsible for around 5% of motorcycle Killed or Seriously Injured (KSI) accidents.",0,0,0,"Vorlaeufige Studien im United Kingdom, durchgefuehrt von der University of Nottingham fuer das Department of Transport zeigen, dass das Durchfahren zwischen Wagen bei angehaltenem Verkehr (z. B. bei Rotlicht), verantworlich ist fuer 5% von Motorradunfaellen mit Toten oder Schwerverletzten (ICS). ",0,0.640795591,9,4,5,1,1,4,4,0,"Vorläufige Ergebnisse einer Studie im Vereinigten Königreich, die von der Universität Nottingham für das Department for Transport durchgeführt wurde, zeigen, dass die Filterung für rund 5% der Unfälle mit Motorrädern oder Schwerverletzten (KSI) verantwortlich ist.",0,0.700118078,10,4,6,1,1,4,4,0
We should abandon speed limit enforcement,Wir sollten die Durchsetzung von Geschwindigkeitsbegrenzungen aufgeben.,The Automobile Association was established in 1905 in the United Kingdom to help motorists avoid police speed traps.,0,0.3,0,"Die Automobile Association wurde im Jahr 1905 in UK gegruendet, um Autofahrern  zu helfen, Polizeiradarfallen zu vermeiden .",0,0.960747306,10,1,9,,,1,1,0,"Der Automobile Verein wurde 1905 im Vereinigten Königreich gegründet, um Autofahrern zu helfen, Polizeigeschwindigkeitsfallen zu vermeiden.",0,0.851089117,10,2,8,1,1,2,2,0
We should abandon speed limit enforcement,Wir sollten die Durchsetzung von Geschwindigkeitsbegrenzungen aufgeben.,"In 2005, 2006, 2008 and 2009 the California legislature considered, but did not pass, bills to implement speed limit enforcement cameras .",0,0.2,0,"In den Jahren 2005, 2006, 2008 und 2009 hat die kalifornische Legislative Gesetze zur Einführung von Überwachungskameras für Geschwindigkeitsbegrenzungen geprüft, aber nicht verabschiedet.",1,0.534321266,10,5,5,-1,1,5,1,4,"In den Jahren 2005, 2006, 2008 und 2009 hat der kalifornische Gesetzgeber, aber nicht bestanden, Rechnungen zur Umsetzung von Geschwindigkeitsbegrenzungsdurchsetzungskameras angenommen.",1,0.901043511,10,6,4,-1,1,6,0,6
We should abandon tabloid journalism,Wir sollten den Boulevardjournalismus aufgeben.,"Montreal has numerous weekly tabloids and community newspapers serving various neighbourhoods, ethnic groups and schools.",0,0,0,"In Montreal gibt es zahlreiche wöchentliche Boulevardzeitungen und Gemeindezeitungen, die verschiedene Stadtviertel, ethnische Gruppen und Schulen versorgen.",0,0.962517134,10,1,9,,,1,1,0,"Montreal verfügt über zahlreiche wöchentliche Boulevardzeitungen und Gemeinschaftszeitungen, die verschiedene Stadtviertel, ethnische Gruppen und Schulen bedienen.",0,1,9,0,9,,,0,0,0
We should abandon tabloid journalism,Wir sollten den Boulevardjournalismus aufgeben.,"Unlike other Philippine tabloids, Inquirer Libre seeks to provide commuters access to decent, useful and meaningful news and current events.",0,0,0,"Ungleich anderer philippinischer Boulevardzeitungen, versucht Inquirer Libre Berufspendlern Zugriff zu vernuenftigen,  nuetzlichen und sinnvollen Nachrichten und Tagesereignissen zu bieten.",0,0.821285783,10,3,7,,,3,0,3,"Anders als andere philippinische Boulevardblätter bemüht sich Inquirer Libre darum, den Pendlern Zugang zu menschenwürdigen, nützlichen und bedeutungsvollen Nachrichten und aktuellen Ereignissen zu verschaffen.",0,0.945667016,10,1,9,,,1,0,1
We should abandon the presidential system,Wir sollten das Präsidialsystem aufgeben,"(This led some Congress party leaders to demand a move towards a presidential system, with a more powerful directly elected executive.)",1,0.636363636,-1,"(Dies veranlasste einige Parteiführer des Kongresses, einen Schritt hin zu einem Präsidialsystem mit einer mächtigeren direkt gewählten Exekutive zu fordern).",0,1,7,0,7,,,0,0,0,"(Dies veranlasste einige Parteichefs des Kongresses, einen Schritt hin zu einem Präsidialsystem zu fordern, mit einem mächtigeren direkt gewählten Exekutiv.)",0,0.725025132,10,4,6,-1,1,4,2,2
