topic_EN,topic_DE,argument_EN,stance_label_EN,stance_conf_EN,quality_score_EN,argument_DE_ht,num_labelers_ht,stance_label_ht,stance_conf_ht,stance_pro_ht,stance_neutral_ht,stance_con_ht,quality_score_ht,quality_positive_ht,quality_negative_ht,argument_DE_mt,num_labelers_mt,stance_label_mt,stance_conf_mt,stance_pro_mt,stance_neutral_mt,stance_con_mt,quality_score_mt,quality_positive_mt,quality_negative_mt
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"why would we try to defend anyone that denies the mass slaughter of millions of men, women and children. it is indefensible",1,0.899290918,0.65648,"warum sollten wir versuchen, jemanden zu verteidigen, der das Massenmassaker an Millionen von Männern, Frauen und Kindern leugnet. es ist unentschuldbar",6,1,1,6,0,0,0.432803138,2,4,"Warum würden wir versuchen, jeden zu verteidigen, der die Massenschlachtung von Millionen von Männern, Frauen und Kindern leugnet. Es ist unhaltbar,",5,1,1,5,0,0,0,0,5
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,we should support freedom of speech,-1,1,0.72637,Wir sollten Redefreiheit unterstuetzen,5,-1,1,0,0,5,0.464967334,2,3,"sollten wir die Redefreiheit unterstützen,",5,-1,1,0,0,5,0.234857791,1,4
Holocaust denial should be a criminal offence,Holocaust-Leugnung soll ein Straftatbestand sein,"while the events of the holocaust are awful, questioning whether or not it actually happened shouldn't be punishable by prison time.",-1,1,0.91395,"Während die Ereignisse des Holocaust schrecklich sind, sollte die Frage, ob er tatsächlich stattgefunden hat oder nicht, nicht mit Gefängnis bestraft werden.",6,-1,0.822560195,0,1,5,0.494607439,3,3,"während die Ereignisse des Holocaust schrecklich sind, hinterfragen, ob es tatsächlich geschehen ist, sollte nicht mit der Gefängniszeit geahndet werden.",5,-1,1,0,0,5,0.413098519,2,3
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,"the media often lie to us and only present their biased take on the news.  social media allows all possible sides to be heard, which is good for everyone.",-1,0.725683685,0.78579,"die Medien lügen uns oft an und präsentieren nur ihre voreingenommene Sichtweise auf die Nachrichten. soziale Medien ermöglichen es, alle möglichen Seiten zu hören, was für alle gut ist.",6,-1,1,1,0,5,0.773884704,4,2,"Die Medien lügen uns oft und präsentieren nur ihre vorgespannte Lage in den Nachrichten.  Soziale Medien lassen alle möglichen Seiten zu hören, was gut für alle ist.",9,-1,1,1,0,8,0.384518587,3,6
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,social media is addictive to young people to the point where it affects their education because they are distracted from their studies.,1,1,0.86314,"Soziale Medien sind suchterzeugend fuer junge Leute bis zu dem Punkt, dass es sich auf ihre Bildung auswirkt, da sie vom Lernen abgelenkt sind. ",6,1,0.84805788,5,0,1,0.763738402,4,2,"Die sozialen Medien sind für junge Menschen süchtig bis zu dem Punkt, an dem sie ihre Ausbildung beeinflussen, weil sie von ihrem Studium abgelenkt werden.",9,1,1,8,0,1,0.334791603,4,5
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,it is not possible to tell if what people are saying is true,1,1,0.47275,"Es ist nicht moeglich zu sagen, ob das, was Menschen erzaehlen, wahr ist",9,1,0.84226084,7,2,0,0.314704883,2,7,"Es ist nicht möglich zu sagen, ob das, was die Menschen sagen, wahr ist.",7,1,0.848957949,6,1,0,0.466640589,3,4
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,it can lead to intrusive behaviors from unknown persons as well as known people. it also makes us vulnerable to loss of privacy.,1,1,0.80945,"Es kann zu aufdringlichem Benehmen von unbekannten sowie bekannten Menschen fuehren, es gefaehrdet  auch unsere Privatsphaere. ",5,1,1,5,0,0,0.69108263,3,2,Es kann zu eindringlichen Verhaltensweisen von unbekannten Personen und bekannten Menschen führen. Es macht uns auch anfällig für den Verlust der Privatsphäre.,9,1,1,9,0,0,0.626242073,5,4
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,social media brings more harm than good because social media is a brainwashing of some sort it makes people go against each other and create hatred if they do not share same ideas,1,1,1,"Soziale Medien bringen mehr Schaden als Nutzen, denn soziale Medien sind eine Art Gehirnwäsche. Sie bringen Menschen dazu, gegeneinander anzutreten und Hass zu schüren, wenn sie nicht dieselben Ideen teilen.",6,1,1,6,0,0,0.889404298,5,1,"Social Media bringt mehr Schaden als Gutes, weil Social Media eine Gehirnwäsche von irgendeiner Art ist, die Menschen gegeneinander anziehen und Hass schaffen, wenn sie nicht dieselben Ideen teilen",9,1,0.851822687,8,0,1,0.384518587,3,6
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,social media helps people find communities and like minded people they never would have found previously.,-1,0.894474546,1,"Soziale Medien helfen Menschen, Gemeinschaften und Gleichgesinnte zu finden, die sie vorher nie gefunden hätten.",6,-1,1,0,0,6,0.69108263,4,2,"Social Media hilft Menschen, Gemeinschaften und Gleichgesinnte zu finden, die sie vorher nie gefunden hätten.",9,-1,1,1,0,8,1,8,1
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,social media can help people from all over the world to connect and share ideas. social media helps the world to be a smaller anda happier place.,-1,1,0.65186,"Social Media können Menschen aus aller Welt dabei helfen, sich zu verbinden und Ideen auszutauschen. Social Media helfen der Welt, kleiner und glücklicher zu werden.",6,-1,1,0,0,6,0.889404298,5,1,"Social Media kann Menschen aus aller Welt helfen, Ideen zu vernetzen und auszutauschen. Social Media hilft der Welt, ein kleinerer und glücklicher Ort zu sein.",5,-1,1,0,0,5,1,5,0
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,social media has made it more difficult than ever for people to interact face to face.,1,1,0.87763,Soziale Medien haben es fuer Menschen schwieriger denn je gemacht persoenlich zu kommunizieren.,5,1,1,5,0,0,0.658918434,3,2,"Soziale Medien haben es für Menschen schwieriger als je zuvor gemacht, mit Gesicht zu interagieren.",7,1,1,7,0,0,0.072000113,1,6
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,social media can help lonely people because the are able to readily communicate with others they know or by making new friends.,-1,1,0.6833,"Soziale Medien helfen einsamen Menschen, da sie ohne weiteres mit anderen Bekannten kommunizieren koennen, oder indem sie neue Freunde machen.",6,-1,1,0,0,6,1,6,0,"Soziale Medien können einsamen Menschen helfen, weil sie in der Lage sind, mit anderen zu kommunizieren, die sie kennen, oder indem sie neue Freundschaften schließen.",8,-1,1,0,0,8,1,8,0
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,social media can help to  foster radicalism & extremism,1,0.558724706,0.76126,"Soziale Medien koennen dazu beitragen, Radikalismus und Extremismus zu foerdern",5,1,1,5,0,0,0.835689006,4,1,"Soziale Medien können helfen, Radikalismus und Extremismus zu fördern",8,1,0.922208853,7,0,1,0.908407246,6,2
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,social media can provide a great way for people who are separated by distance to stay in touch. families can use it to post pictures of key milestones such as birthdays which might otherwise have been missed.,-1,0.883619376,0.94312,"soziale medien können eine großartige möglichkeit für menschen bieten, die durch distanz voneinander getrennt sind, in kontakt zu bleiben. familien können sie nutzen, um bilder von wichtigen meilensteinen wie geburtstagen zu posten, die sonst vielleicht verpasst worden wären.",6,-1,1,0,0,6,0.889404298,5,1,"Soziale Medien können Menschen, die durch Distanz getrennt sind, einen großen Weg geben, um in Kontakt zu bleiben. Familien können es nutzen, um Bilder von wichtigen Meilensteinen wie Geburtstagen zu posten, die sonst verpasst worden wären.",5,-1,1,0,0,5,1,5,0
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,social media makes it easy for children to bully other children.,1,1,0.7948,Soziale Medien machen es Kindern leicht andere Kinder zu tyrannisieren.,5,1,1,5,0,0,0.835689006,4,1,"Soziale Medien machen es Kindern leicht, andere Kinder zu bullen.",8,1,1,8,0,0,0.263422226,2,6
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,people believe that what they read is true,1,0.71495297,0.38569,"die Menschen glauben, dass das, was sie lesen, wahr ist",6,1,0.712960827,4,2,0,0.331010073,2,4,"glauben, dass das, was sie lesen, wahr ist",5,1,0.643783168,3,2,0,0.164310994,1,4
Social media brings more harm than good,Social Media bringt mehr Schaden als gut,the social media es very important for free information,-1,1,0.38661,die sozialen Medien sind sehr wichtig für freie Information,6,-1,1,1,0,5,1,5,1,die sozialen Medien sind sehr wichtig für die kostenlose Information,9,-1,0.925271063,1,0,8,0.757427913,6,3
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,this would stop rich people being able to avoid criminal charges by buying the best lawyers.,1,0.905098561,0.94197,"Das wuerde reiche Leute davon abhalten, dass sie in der Lage sind kriminelle Anschuldigungen zu vermeiden, indem sie die besten Rechtsanwaelte kaufen.",10,1,0.830550215,8,1,1,0.767103801,8,2,"Dies würde dazu führen, dass reiche Menschen durch den Kauf der besten Anwälte nicht in der Lage sind, Strafanzeigen",8,-1,0.675472929,2,0,6,0.076023802,2,6
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,The use of public defenders should be mandatory because it would lead to better public defenders for all.,1,1,0.5734,"Der Einsatz von oeffentlichen Strafverteidigern sollte Pflicht sein, da es zu besseren oeffentlichen Strafverteidigern fuer alle fuehren wuerde",5,1,1,5,0,0,0.658918434,3,2,"Der Einsatz von öffentlichen Verteidigern sollte obligatorisch sein, weil sie zu besseren öffentlichen Verteidigern für alle führen würde.",6,1,1,6,0,0,0.432647336,3,3
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,The use of public defenders would lower the rate of incarceration and alleviate overcrowding in prisons.,1,1,0.8367,Der Einsatz von oeffentlichen Strafverteidigern wuerde die Inhaftierungsrate vermindern und die Uebervoelkerung der Gefaengnisse verringern.,5,1,1,5,0,0,0.855393624,4,1,Der Einsatz von öffentlichen Verteidigern würde die Rate der Inhaftierung senken und die Überbelegung in Gefängnissen lindern.,9,1,1,9,0,0,0.922450184,8,1
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,people should be allowed to look for the best lawyer that they can afford to help them with their defense.,-1,0.828037137,0.86707,"Die Menschen sollten die Möglichkeit haben, sich den besten Anwalt zu suchen, den sie sich leisten können, um ihnen bei ihrer Verteidigung zu helfen.",6,-1,0.648408571,0,2,4,0.378278321,2,4,"sollten die Menschen nach dem besten Anwalt suchen, den sie sich leisten können, um ihnen bei ihrer Verteidigung zu helfen.",8,-1,0.925271063,1,1,6,0.210828869,2,6
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,people should be able to choose if they want someone to represent them or not.,-1,0.834608063,0.8857,"Die Menschen sollten wählen können, ob sie von jemandem vertreten werden wollen oder nicht.",6,-1,1,0,0,6,0.874334104,5,1,"Die Menschen sollten in der Lage sein, zu wählen, ob sie jemanden vertreten wollen oder nicht.",9,-1,0.925271063,1,1,7,0.43792824,3,6
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,this would create many general attorneys representing cases they are not skilled nor knowledge about and would flood the attorney pool overwhelmingly and cause a wait list for representation..,-1,1,0.64503,"Dies würde dazu führen, dass viele Generalstaatsanwälte Fälle vertreten würden, in denen sie weder über Fachwissen noch Kenntnisse verfügen, und würde den Anwaltspool überwältigend überfluten und eine Warteliste für die Vertretung verursachen.",6,-1,1,0,0,6,0.164310994,2,4,"Dies würde viele allgemeine Anwälte, die Fälle darstellen, die sie nicht qualifiziert oder Wissen über und würde die Anwältin Pool mit überwältigender Mehrheit und eine Warteliste für die Vertretung zu schaffen.",5,-1,1,0,0,5,0.164310994,1,4
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"making it mandatory means funding will increase for public defenders, which will allow everyone to access quality defense lawyers",1,1,0.98094,"Es rechtsverbindlich zu machen bedeutet, dass sich die  Finanzierung fuer oeffentliche Strafverteidiger erhoehen wird, was jedem Zugriff zu qualifizierten oeffentlichen Strafverteidigern ermoeglicht.",10,1,0.693195099,7,2,1,0.734207982,6,4,"Durch die obligatorische Bereitstellung von Mitteln für öffentliche Verteidiger, die es jedem ermöglichen, Zugang zu Qualitätsverteidigern zu erhalten,",9,1,1,8,0,1,0.642230174,6,3
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,public defenders are a way to protect those that are unjustly accused of crimes,1,1,0.78624,"Oeffentliche Strafverteidiger ermoeglichen es diejenigen zu beschuetzen, die ungerechterwise eines Verbrechens beschuldigt sind.",5,1,1,5,0,0,0.69108263,3,2,"Öffentliche Verteidiger sind ein Weg, um diejenigen zu schützen, die zu Unrecht von Verbrechen beschuldigt werden",5,1,1,5,0,0,1,5,0
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,public defenders are often overburdened with the number of cases and thus cannot do a good and thorough job of defending all their clients.,-1,0.92755753,0.97681,Oeffentliche Strafverteidiger sind oft ueberlastet mit der Azahl ihrer Faelle und konnen daher keinen guten Job der Verteidung Ihrer Klienten leisten. ,10,-1,1,0,0,10,0.707191189,7,3,,,,,,,,,,
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Public defenders are already incredibly overworked and unable to provide individualized attention to clients, and this means that you're only adding more people to a clogged system.",-1,1,0.73606,"Oeffentliche Strafverteidiger sind schon unglaublich ueberlasted und nicht in der Lage Kunden individuelle Aufmerksamkeit zu geben, und das bedeuted, dass man nur noch mehr Leute in ein  uebervoelkertes System steckt.",5,-1,1,0,0,5,0.855393624,4,1,"Öffentliche Verteidiger sind bereits unglaublich überarbeitet und können Kunden nicht individualisierte Aufmerksamkeit schenken, und das bedeutet, dass Sie nur noch mehr Menschen zu einem verstopften System hinzufügen.",5,-1,1,0,0,5,0.873508649,4,1
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"Public defenders are much more likely to be corrupted than private lawyers, by preventing people from having an alternative the government opens up public defender corruption to harm more people.",-1,1,0.72778,"Pflichtverteidiger sind viel wahrscheinlicher korrumpiert als private Rechtsanwälte. Indem die Regierung verhindert, dass die Menschen eine Alternative haben, öffnet sie die Korruption der Pflichtverteidiger, um mehr Menschen zu schaden.",6,-1,1,0,1,5,0.164310994,2,4,"Öffentliche Verteidiger sind viel wahrscheinlicher als private Anwälte, indem sie verhindern, dass die Menschen eine Alternative haben, die Regierung öffnet die öffentliche Verteidiger Korruption, um mehr Menschen zu schaden.",5,-1,1,0,0,5,0,0,5
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"public defenders should not be mandatory as they are often overworked and underpaid, this would only add to the strain and workload.",-1,1,1,"Pflichtverteidiger sollten nicht zwingend vorgeschrieben werden, da sie oft überlastet und unterbezahlt sind, dies würde die Belastung und den Arbeitsaufwand nur noch erhöhen.",6,-1,1,0,0,6,0.855393624,5,1,"Öffentliche Verteidiger sollten nicht verpflichtend sein, da sie oft überarbeitet und unterbezahlt werden, dies würde nur zu Belastung und Arbeitsbelastung führen.",9,-1,1,1,0,8,0.772900628,6,3
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,"in order to make sure that cases aren't tied up in appeals courts, defendants who can't afford their own attorney should be mandated to use a public defender to ensure a fair trial.",1,1,0.88191,"Um sicherzustellen, dass die Fälle nicht durch Berufungsgerichte blockiert werden, sollten Angeklagte, die sich keinen eigenen Anwalt leisten können, beauftragt werden, einen Pflichtverteidiger einzusetzen, um ein faires Verfahren zu gewährleisten.",6,1,1,6,0,0,0.591871014,4,2,"Um sicherzustellen, dass Fälle nicht in Berufungsgerichten eingebunden sind, sollten Angeklagte, die sich ihren eigenen Anwalt nicht leisten können, beauftragt werden, einen öffentlichen Verteidiger zu verwenden, um ein faires Verfahren zu gewährleisten.",9,1,1,8,0,1,0.457339172,6,3
The use of public defenders should be mandatory,Die Verwendung von öffentlichen Verteidigern sollte obligatorisch sein,keep a level playing field for those who cannot afford an attorney,1,1,0.73181,"gleiche Wettbewerbsbedingungen für diejenigen, die sich keinen Anwalt leisten können",6,1,1,6,0,0,0.654209457,4,2,"für diejenigen, die sich keinen Rechtsanwalt leisten können, gleiche Ausgangsbedingungen",8,1,0.925271063,6,1,1,0.592207027,5,3
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,his type of activity has causes many crimes and  discord between contestants and countries.,1,0.766968621,0.5207,Die Art seiner Tätigkeit hat viele Verbrechen und Zwietracht zwischen Teilnehmern und Ländern verursacht.,6,1,1,6,0,0,0.164310994,1,5,Seine Art von Aktivität hat viele Verbrechen und Zwietracht zwischen den Teilnehmern und den Ländern verursacht.,5,1,1,5,0,0,0.164310994,1,4
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,"The Olympic Games have become too controversial lately with politics, doping and other issues and should be banned.",1,1,0.65792,"Die Olympischen Spiele sind in letzter Zeit in Bezug auf Politik, Doping und andere Themen zu kontrovers geworden und sollten verboten werden.",6,1,1,6,0,0,0.803524809,4,2,"Die Olympischen Spiele sind in letzter Zeit zu umstritten mit Politik, Doping und anderen Themen geworden und sollten verboten werden.",5,1,1,5,0,0,0.803524809,4,1
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,olympic games are expensive not only for the hosting country but to all the countries involve,1,1,0.75865,"Die Olympischen Spiele sind nicht nur fuer das Gastland, aber auch fuer alle involvierten Laender, teuer",5,1,1,5,0,0,0.803524809,4,1,"Die olympischen Spiele sind nicht nur für das Hosting-Land teuer, sondern auch für alle Länder",8,1,1,8,0,0,0.92273111,7,1
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,this is one of the few times we get to enjoy something as a citizen of the world; the olympics are powerfully unifying.,-1,1,0.79922,"Es ist eine der wenigen Male, dass wir etwas als Weltbuerger geniessen koennen; die Olympiade vereinigt maechtig.",5,-1,1,1,0,4,0.772019837,3,2,"Dies ist eines der wenigen Male, das wir als Bürger der Welt genießen können; die olympischen Spiele sind machtvoll.",5,-1,1,0,0,5,0.197789545,1,4
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,large buildings are built at a great expense that usually are never used again,1,1,0.49898,"Es werden grosse teure Gebaeude gebaut, die meistens nie wieder benutzt werden",5,1,1,5,0,0,1,5,0,"große Gebäude werden auf einen großen Aufwand gebaut, der in der Regel nie wieder verwendet wird",8,1,0.932831716,7,0,1,0.700504547,5,3
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,i think that we shouldn't abolish the olympic games because is humanity friendship,-1,0.927409492,0.55412,"Ich meine wir sollten die Olympischen Spiele nicht abschaffen, weil es Freundschaft zwischen Menschen ist",8,-1,1,0,0,8,0.301013753,2,6,"Ich denke, dass wir die olympischen Spiele nicht abschaffen sollten, weil die Menschheit Freundschaft ist",8,-1,1,1,0,7,0,1,7
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,they are boring and cost too much money,1,1,0.6483,Sie sind langweilig und kosten zu viel Geld,5,1,1,5,0,0,0.164310994,1,4,Sie sind langweilig und kosten zu viel Geld,8,1,0.917728831,7,0,1,0.251487143,2,6
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,we should abolish the olympic games because it is so expensive for participants,1,1,0.65196,"Wir sollten die Olynpischen Spiela abschaffen, weil sie fuer alle Teilnehmer so teuer sind",5,1,1,5,0,0,0.855393624,4,1,"sollten wir die olympischen Spiele abschaffen, weil es für die Teilnehmer so teuer ist",8,1,1,8,0,0,0.407762341,3,5
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,we shouldn't abolish the olympic games for the union of countries,-1,1,0.41968,"Wir sollten die Olynpischen Spiele nicht abschaffen, da sie Laender vereinen",5,-1,1,0,0,5,0.60957371,3,2,sollten wir die olympischen Spiele für die Union der Länder nicht abschaffen,8,-1,0.922208853,1,0,7,0.282374151,3,5
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,we should abolish the olympic games because in this day and age it can be a dangerous event which may be targeted due to terroristic reasons. it can leave both the athletes and surveyors in harm's way.,1,1,0.80853,"wir sollten die olympischen Spiele abschaffen, weil sie heutzutage ein gefährliches Ereignis sein können, das aus terroristischen Gründen ins Visier genommen werden kann. es kann sowohl den Athleten als auch den Vermessungsingenieuren schaden.",6,1,1,6,0,0,0.533794882,3,3,"Wir sollten die olympischen Spiele abschaffen, denn in diesem Alter kann es sich um ein gefährliches Ereignis handeln, das aus terroristischen Gründen ins Visier genommen werden kann. Es kann sowohl die Athleten als auch die Vermessungsingenieure in Schaden nehmen.",8,1,1,8,0,0,0.101217399,2,6
We should abolish the Olympic Games,Wir sollten die Olympischen Spiele abschaffen,the olympic games are a tradition that should be continued.,-1,1,0.31612,"die olympischen Spiele sind eine Tradition, die fortgesetzt werden sollte.",6,-1,1,0,0,6,0,0,6,"die olympischen Spiele sind eine Tradition, die fortgesetzt werden sollte.",5,-1,1,0,0,5,0.413098519,2,3
