topic_EN,topic_IT,argument_IT,stance_label,stance_conf,stance_num_labelers,stance_con,stance_neutral,stance_pro,quality_score,quality_num_labelers,quality_negative,quality_positive
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,La negazione dell'olocausto non dovrebbe essere un reato in quanto viviamo in un paese libero.,-1,1,5,5,0,0,1,5,0,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,La negazione dell'olocausto non dovrebbe essere un reato perchè si tratta di una messa in scena e non un fatto   veramente accaduto,-1,1,5,5,0,0,0,5,5,0
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,La storia non deve venire dimenticata e quando succedono questi orrori chi ha compiuto queste nefandezze deve venir punito con la   massima pena  consentita,1,1,10,0,0,10,0.791038195,5,1,4
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,La veridicità dell'Olocausto è funzionale alla demonizzazione della Germania.,-1,0.70056513,10,7,2,1,0.183220276,9,6,3
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Negare l'Olocausto e tacere sui crimini e il genocidio compiuto dai nazisti genera odio razziale e antisemitismo,1,1,5,0,0,5,1,5,0,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Negare l'Olocausto equivale a depenalizzare qualsiasi sterminio di massa, con la conseguenza di fomentare l'odio tra etnie e religioni ed incentivare l'ignoranza storica, civile e morale.",1,0.896044375,10,1,0,9,1,6,0,6
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Negare l'Olocausto non può essere considerato un crimine, poiché credere in qualcosa non è agire: le idee non sono perseguibili penalmente e ogni essere umano ha il diritto di credere a ciò che vuole.",-1,0.901324827,10,9,0,1,0.875418582,9,2,7
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Negare l'Olocausto significa offendere la memoria di chi è morto durante le persecuzioni della Second Guerra Mondiale.,1,1,10,0,0,10,1,5,0,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Negare l'Olocausto è comparabile a voler insabbiare dei crimini politici, per i quali viene riconosciuta una pena e così dovrebbe essere anche per il negazionismo.",1,1,5,0,0,5,0.347577599,5,3,2
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Negare l'Olocausto è un crimine. non c'è scampo. Negare che c'è stato un periodo in cui una parte di umanità è stata trattata come carne da macello è da criminali.,1,1,10,0,0,10,1,7,0,7
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Negare l'Olocausto è un fatto grave, ma spesso chi lo fa è ""solo"" ignorante e pertanto andrebbe educato e non punito.",-1,0.598029826,5,3,1,1,0.511056885,5,3,2
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Negare l'esistenza storica dell'Olocausto significa rinunciare ai valori di umanità e giustizia che ci contraddistinguono. Ecco perché è necessario che il negazionismo di tale immane evento costituisca reato.,1,1,10,0,0,10,0.920359411,8,1,7
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Negare l'olocausto non deve essere sanzionato in quanto potrebbe minare il diritto di esprimere le proprie opinioni senza che un'autorita' intervenga penalmente,-1,1,5,5,0,0,1,5,0,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Negare l'olocausto è una mancanza di rispetto verso le persone che sono morte durante questo evento storico, e nei confronti dei superstiti che dopo tutto quello che hanno passato si sentono chiamare bugiardi.",1,1,10,0,0,10,1,9,0,9
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Negare un fatto grave come l'Olocausto dovrebbe essere punito duramente per evitare di commettere gli errori del passato.,1,1,10,0,0,10,0.73635742,7,2,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Nel mio paese ( Italia) la negazione dell'olocausto è già reato.,1,1,10,0,0,10,0.155303244,8,7,1
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"No perchè la libertà di parola e pensiero deve tutelare tutte le idee anche quelle più assurde e false, altrimenti decidere cosa si può dire e cosa  mettere in dubbio rischia di cancellare il diritto di critica",-1,1,10,10,0,0,1,6,0,6
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Non ritengo corretto vietare nulla in quanto ci deve essere libertà di pensiero anche se scomodo , questa è la base dei principi di una civiltà moderna",-1,1,10,10,0,0,1,6,0,6
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Non si deve punire chi ha solo obbedito a degli ordini  dati in un periodo storico dove si poteva venire denunciati di tradimento da tutti, amici e nemici  compresi",-1,0.853378775,10,8,1,1,0.667946768,5,2,3
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Ognuno ha il diritto di pensare ed esprimere le proprie opinioni anche se riguardano la negazione di fatti realmente accaduti.,-1,1,10,10,0,0,1,8,1,7
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,Ognuno ha il diritto di pensare quello che crede,-1,1,5,5,0,0,0.597301632,5,2,3
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Ognuno è libero di esprimere la propria opinione, anche se questa può non essere gradita.",-1,1,10,9,1,0,1,7,1,6
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Sarebbe bello, ma sarebbe sempre una forma di censura di una opinione e sarebbe un precedente pericoloso.",-1,0.784484627,10,8,2,0,0.631856455,5,2,3
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"Un reato è un fatto grave, in molti casi le persone che negano l'esistenza dell'Olocausto non sono criminali, ma solo ignoranti e come tali andrebbero educati.",-1,0.848010287,10,8,0,2,1,6,0,6
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,attraverso notizie fondate avallerei la contesta,0,0.403946369,10,2,4,4,0,5,5,0
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,chi nega che l'olocausto non  sia avvenuto lo punirei con la detenzione,1,1,10,0,0,10,0.312219483,7,4,3
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"decisamente si, in troppi ancora lo negano. molti giovani  di determinate aree politiche oltre a negarlo parteggiano per organizzazioni/Stati il cui scopo è annientare Israele e questo è veramente criminale",1,1,10,0,0,10,0.879287377,6,1,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"decisamente, non si può negare l'olocausto, è immorale.",1,1,10,0,0,10,0.380493677,7,5,2
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,diffondere cose diverse dalla verità crea delle distorsioni culturali,1,1,10,0,0,10,0.876489103,6,1,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,e' importante che la memoria venga tenuta viva in modo da evitare episodi simili in futuro criminalizzando chi porta idee diverse,1,1,10,0,0,10,1,6,1,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,fatti così gravi se vengono negati sono irrispettosi nei confronti del genere umano,1,1,5,0,0,5,0.639292888,5,2,3
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,in nome della libertà di pensiero non dovrebbe essere un crimine,-1,1,11,11,0,0,0.905595788,8,1,7
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,l'olocausto è esistito e vi sono le prove sia viventi che no. chi lo nega deve essere condannato in quanto negarlo può portare a ricomettere lo stesso reato,1,1,10,0,0,10,0.868018785,7,2,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,la legge dovrebbe occuparsi di cose molto più serie,-1,0.903457325,10,9,1,0,0.072776821,9,8,1
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,negare che l'olocausto sia avvenuto è mentire sapendo di mentire,1,1,10,0,0,10,0,6,6,0
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,negare l'olocausto non dovrebbe essere un reato perché ognuno è libero di avere la propria opinione in base ai fatti,-1,1,5,5,0,0,0.72347593,5,1,4
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,negare l'olocausto non è un crimine perchè tutto puo' essere contestato e non deve essere un reato.,-1,1,10,10,0,0,0.751775985,7,3,4
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,negare l'olocausto è un crimine morale e sociale,1,1,10,0,0,10,0.900265724,6,1,5
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,non posso scrivere un commento a difesa del topic; sorry ;-(,-1,0.447386388,10,4,5,1,0.100514208,5,4,1
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,nonostante sia una pagina di storia triste chi lo nega non può essere condannato perchè la libertà di pensiero è sacra,-1,1,10,10,0,0,0.956225721,9,2,7
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"penso  che le persone che negano l'olocausto siano solo persone ignoranti, che vanno rieducate, più che multate o mandate in galera",-1,0.598029826,5,3,1,1,0.582110413,5,2,3
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,"per quanto gravi i torti subiti dal popolo ebreo, ognuno deve essere libero di credere e negare che l'olocausto sia effettivamente avvenuto senza rischiare legalmente.",-1,1,10,10,0,0,0.844696756,8,1,7
Holocaust denial should be a criminal offence,La negazione dell'Olocausto dovrebbe essere un reato,tutte le persone vittime e i pochi sopravviussti all'olocausto e tutte le persone con un cervello hanno visto le tombe e  i cimiteri. approvo completamente dovrebbe essere perseguito penalmente,1,1,10,0,0,10,0.902182367,5,1,4
Social media brings more harm than good,I social media portano più danni che buoni,"All'ordine del giorno in questo momento sono le notizie  a proposito del Corona Virus, ci  sono troppe informazioni a riguardo",1,0.782131043,10,0,3,7,0,9,8,1
Social media brings more harm than good,I social media portano più danni che buoni,Bisogna fare attenzione alle notizie false a riguardo del CoronaVirus bisogna fare una netta distinzione a proposito,1,1,10,0,0,10,0.854375448,6,1,5
Social media brings more harm than good,I social media portano più danni che buoni,Bisognerebbe informare tramite la stampa che i social media fanno più danni che benefici,1,1,10,0,0,10,0,6,6,0
Social media brings more harm than good,I social media portano più danni che buoni,"Dipende tutto da come vengono usati. Possono essere un buon modo per ritrovare vecchi amici, conoscere nuove persone che condividono una stessa passione, tenersi informati e anche sentirsi meno soli.",-1,1,10,10,0,0,1,6,0,6
Social media brings more harm than good,I social media portano più danni che buoni,E' un bene che diverse fonti di informazione propongano i dati ufficiali sull'epidemia perchè alcune persone lstanno prendendo la malattia con superficialità.,-1,0.794546469,10,8,2,0,0.136672921,6,5,1
Social media brings more harm than good,I social media portano più danni che buoni,"Fondamentalmente, i social media dipendono ora, in larga misura, dalla vita di molte persone.",1,0.800792741,5,0,1,4,0.291715289,5,4,1
Social media brings more harm than good,I social media portano più danni che buoni,I Social Media per alcune persone si sono sostituiti alla vita reale e c'è gente che vive per apparire soltanto su Facebook e Instagram per esempio.,1,1,5,0,0,5,0.873825702,5,1,4
Social media brings more harm than good,I social media portano più danni che buoni,I Social media portano più benefici che danni in quanto sono utili per tenersi aggiornati direttamente da fonti dirette e autentiche.,-1,1,10,10,0,0,0.868346888,9,3,6
Social media brings more harm than good,I social media portano più danni che buoni,"I Social possono far estraniare dalla vita reale ma portano anche dei benefici, come tenere le persone connesse, favorire lo scambio di informazioni e dati e la condivisione di notizie e informazioni utili.",-1,0.813747188,10,8,1,1,1,5,0,5
Social media brings more harm than good,I social media portano più danni che buoni,"I socia media sono nocivi perché possono veicolare notizie false o non riscontrate, traendo così in inganno le persone. Ciò accade spesso per argomenti sensibili, come la politica, l'immigrazione, etc....",1,1,10,0,0,10,0.944972612,9,1,8
Social media brings more harm than good,I social media portano più danni che buoni,"I social  sono un rapido sistema di comunicazione , tuttavia  riducono il confronto permettono il diffondersi  di frasi e comportamenti denigratori che non sarebbero mai successi nei rapporti interpersonali",1,0.800792741,5,0,1,4,0.802772173,5,2,3
Social media brings more harm than good,I social media portano più danni che buoni,"I social media aiutano le persone a connettersi e comunicare fra loro, consentendo di scambiarsi idee e opinioni.",-1,1,10,10,0,0,1,6,0,6
Social media brings more harm than good,I social media portano più danni che buoni,I social media aiutano le persone timide ad approcciarsi agli altri senza paure e insicurezze.,-1,1,10,10,0,0,1,6,0,6
Social media brings more harm than good,I social media portano più danni che buoni,"I social media contribuiscono a diffondere notizie false e ingannevoli, che manipolano l'opinione pubblica a danno di tutti quanti.",1,1,10,0,0,10,0.854801426,9,2,7
Social media brings more harm than good,I social media portano più danni che buoni,"I social media creano danni ai giovani, creano dipendenza e sono pericolosi perchè non c'è controllo su alcune piattaforme",1,1,10,0,0,10,0.604964113,7,3,4
Social media brings more harm than good,I social media portano più danni che buoni,I social media hanno prodotto un raffreddamento dei rapporti interpersonali e in più danno cattivi esempi hai teenager,1,1,10,0,0,10,1,7,0,7
Social media brings more harm than good,I social media portano più danni che buoni,I social media portano più danni che benefici perchè allontanano fisicamente le persone che si abituano a condividere troppo spesso online trascurando la vita reale.,1,1,10,0,0,10,1,5,0,5
Social media brings more harm than good,I social media portano più danni che buoni,I social media portano più danni che benefici perchè allontanano fisicamente le persone facendo loro perdere l'abitudine di incontrarsi spesso per condividere momenti nella vita di tutti i giorni.,1,1,5,0,0,5,1,5,0,5
Social media brings more harm than good,I social media portano più danni che buoni,"I social media possono alienare la gente dai normali rapporti sociali, inoltre dai social si dice ogni sorta di cattiveria nascondendosi dietro allo schermo del proprio pc",1,1,10,0,0,10,0.792609315,5,1,4
Social media brings more harm than good,I social media portano più danni che buoni,"I social media possono arrecare danni di rilievo qualora siano utilizzati in maniera acritica. I social, infatti, sono talvolta veicolo di notizie non verificate, che possono facilmente ingannare gli utenti.",1,1,10,0,0,10,0.641034633,7,2,5
Social media brings more harm than good,I social media portano più danni che buoni,I social media possono essere un valido strumento per comunicare con altre persone e condividere informazioni e idee.,-1,1,10,10,0,0,,,,
Social media brings more harm than good,I social media portano più danni che buoni,I social media possono fare più male che bene. Spesso e volentieri sui social media girano tantissime fake news. In questi tempi soprattutto  girano un sacco di notizie false sui social media sul covid 19.,1,1,10,0,0,10,1,6,0,6
Social media brings more harm than good,I social media portano più danni che buoni,"I social media rappresentano un ottimo modo per restare in contatto con i propri familiari ed amici, anche lontani.",-1,1,10,10,0,0,1,9,1,8
Social media brings more harm than good,I social media portano più danni che buoni,"I social media rischiano di allontanarci progressivamente dalla realtà e di influenzarci a vari livelli, creandoci molti più problemi di quanto immaginiamo.",1,1,5,0,0,5,1,5,0,5
Social media brings more harm than good,I social media portano più danni che buoni,"I social media sono all'origine della diffusione di false notizie e allarmismi. Spesso sono anche veicolo di comportamenti illegali, pericolosi per la privacy, aggressivi e diffamatori.",1,1,5,0,0,5,0.873825702,5,1,4
Social media brings more harm than good,I social media portano più danni che buoni,I social media sono un'importante mezzo per permettere alle persone di mantenersi in contatto. Offrono svariate opportunità di condivisione se utilizzati nel modo giusto,-1,1,10,10,0,0,1,6,0,6
Social media brings more harm than good,I social media portano più danni che buoni,I social media sono utilissimi in quanto aiutano gli utenti ad interagire con amici e parenti lontani.,-1,0.955979947,10,9,0,1,1,5,0,5
Social media brings more harm than good,I social media portano più danni che buoni,"I social media sono utilizzati da tanti professionisti, che riescono a rispondere a quesiti posti da persone comuni su vari argomenti. Questo permette alle persone di avere risposte autorevoli ai loro dubbi.",-1,1,5,5,0,0,0.694413657,5,2,3
Social media brings more harm than good,I social media portano più danni che buoni,I social media sono vettore di violenza e di falsità,1,1,10,0,0,10,0.937693486,8,1,7
Social media brings more harm than good,I social media portano più danni che buoni,"I social media svolgono sicuramente una funzione positiva, ed è quella di creare o cementare rapporti stretti tra le persone.  Inoltre, sono un rimedio alla solitudine di persone sole o malate.",-1,1,10,10,0,0,1,9,1,8
Social media brings more harm than good,I social media portano più danni che buoni,"I social media, usati bene, sono molto utili per rimanere in contatto e per informarsi.",-1,1,10,10,0,0,1,6,0,6
Social media brings more harm than good,I social media portano più danni che buoni,I social permettono più rapidamente la diffusione di fake news che spesso non vengono verificate causando una cascata di odio e di ignoranza,1,1,5,0,0,5,1,5,0,5
Social media brings more harm than good,I social media portano più danni che buoni,I social possono essere dannosi se usati in maniera malevola oppure possono mettere a rischio la privacy se non si prendono le dovute precauzioni.,1,1,10,0,0,10,0.963825288,9,1,8
Social media brings more harm than good,I social media portano più danni che buoni,"I social possono essere utili per diversi motivi, ad esempio esprimere le proprie opinioni, restare in contatto con amici e parenti, conoscere nuove persone, tenersi aggiornati su vari argomenti d'interesse.",-1,1,10,10,0,0,1,7,0,7
Social media brings more harm than good,I social media portano più danni che buoni,"I social sono risultati essere molto utili a farci tenere in contatto persone che altrimenti non avremmo più sentito, come familiari lontani, vecchi compagni di scuola, ecc.",-1,1,10,10,0,0,0.945999848,9,1,8
Social media brings more harm than good,I social media portano più danni che buoni,"L'accesso indiscriminato ai social media da parte di persone sprovvedute, ingenue, ignoranti o poco istruite, può generare disinformazione, falsa informazione, condizionando le loro menti.",1,1,10,0,0,10,1,6,0,6
Social media brings more harm than good,I social media portano più danni che buoni,La gente sui social si sente in diritto di pubblicare e scrivere qualsiasi cosa e molto spesso offendendo e rovinando le altre persone.,1,1,11,0,0,11,1,8,0,8
Social media brings more harm than good,I social media portano più danni che buoni,La maggior parte dei post sui social media sono in buona fede e diffondono notizie affidabili,-1,1,5,5,0,0,0.708284711,5,1,4
Social media brings more harm than good,I social media portano più danni che buoni,La possibiltà offerta dalla fruizione dei social media comporta un indubbio miglioramento delle reazioni sociali all'insegna della libertà di pensiero ed al rispetto delle diversità.,-1,1,10,10,0,0,1,7,0,7
Social media brings more harm than good,I social media portano più danni che buoni,"Le vecchie generazioni sono cresciute senza i social come base di confronto e sono predisposti ad altri tipi di confronto, i giovanissimi di oggi conoscono solamente il mondo che si sta formando sul virtuale",1,0.897271947,10,1,0,9,0.644912977,9,4,5
Social media brings more harm than good,I social media portano più danni che buoni,"Nel social media circolano tante false notizie,che nessuno verifica e possono fare del male.Tante persone creano false identità su questi siti.",1,1,10,0,0,10,0.924231268,6,1,5
Social media brings more harm than good,I social media portano più danni che buoni,Nella situazione che stiamo vivendo i social media ci hanno aiutato a mantenere vivi i rapporti,-1,1,10,10,0,0,0.658964134,9,4,5
Social media brings more harm than good,I social media portano più danni che buoni,"No perchè ignoranti e incivili trovano comunque modo di esporre le loro follie, mentre i social permettono di riconoscerli con facilità. Inoltre i social servono a tenersi in contatto con persone  lontane.",-1,1,10,10,0,0,1,6,0,6
Social media brings more harm than good,I social media portano più danni che buoni,"Oggi sulle retti social circolano molte notizie false,la gente si nasconde la vera identità dietro pofili falsi,è un reale pericolo per i bambini e crea pure dipendenza.",1,1,10,0,0,10,0.924231268,6,1,5
Social media brings more harm than good,I social media portano più danni che buoni,Più veloce e più facile comunicazione. Lavoro da casa. Facile accesso a qualsiasi informazione.,-1,1,5,5,0,0,1,5,0,5
Social media brings more harm than good,I social media portano più danni che buoni,"Ritengo che grazie ai social media sia possibile realizzare una forma di globalizzazione sociale entrando in contatto con persona di altri paesi,che altrimenti da casa non avremmo avuto modo di conoscere.",-1,0.885544583,10,9,0,1,1,5,0,5
Social media brings more harm than good,I social media portano più danni che buoni,"Se non si ha una personalità forte e decisa, è meglio tenersi alla larga dai social media e dalla loro cattiva influenza.",1,1,11,0,0,11,0.947922954,9,1,8
Social media brings more harm than good,I social media portano più danni che buoni,"Se utilizzati bene, i social sono un ottimo modo per rimanere in contatto con persone che non si sentivano da anni. In questo periodo si possono usare per interagire durante la quarantena",-1,1,10,10,0,0,1,7,0,7
Social media brings more harm than good,I social media portano più danni che buoni,"Si può restare in contatto con amici e parenti che vivono lontano, è un buon modo per condividere le proprie opinioni.",-1,1,5,5,0,0,1,5,0,5
Social media brings more harm than good,I social media portano più danni che buoni,"Social media sono un modo per le persone di non perdersi di vista,anche quando vivono a migliaia di km di distanza,è utile per scambiarsi delle informazioni in vari domeni di attività.",-1,1,5,5,0,0,1,5,0,5
Social media brings more harm than good,I social media portano più danni che buoni,"Sui social media le persone leggono soltanto fake news e questi rapporti relazionali di tipo virtuale sono ibridi e senza calore umano, anche se esistono le emoticon.",1,1,10,0,0,10,0.410633125,8,5,3
Social media brings more harm than good,I social media portano più danni che buoni,Uno dei benefici dei social media è riuscire a mettere in contatto persone che ormai si erano perse di vista da anni e far sentire meno la lontananza,-1,1,10,10,0,0,1,6,0,6
Social media brings more harm than good,I social media portano più danni che buoni,"Usati per connettere le persone i social media
  possono essere un ottimo supporto anche a livello commerciale, come veicolo per i prodotti. Veloci  e facili da utilizzare, raggiungono gran parte del pubblico.",-1,1,10,10,0,0,1,7,0,7
Social media brings more harm than good,I social media portano più danni che buoni,i Social media portano più danni che benefici in quanto sono veicolo di notizie false o fuorvianti.,1,1,10,0,0,10,1,6,0,6
Social media brings more harm than good,I social media portano più danni che buoni,i ragazzi possono tenersi facilmente in contatto tra loro,-1,1,10,10,0,0,0.410553681,8,5,3
Social media brings more harm than good,I social media portano più danni che buoni,i social media fanno bene e non portan danni.,-1,1,5,5,0,0,0.071053529,5,4,1
Social media brings more harm than good,I social media portano più danni che buoni,"i social media sono pericolosi perche' espongono troppe persone deboli a truffe, bullismo e li espongono a notizie false che non riescono a giudicare",1,1,10,0,0,10,0.880537955,7,1,6
Social media brings more harm than good,I social media portano più danni che buoni,"i social media spesso diffondono fake news che sono difficili da individuare per le persone più anziane, quindi creano diagi.",1,1,11,0,0,11,0.540272654,8,3,5
